"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.19"
"[Data Information]"
"Data is:","Modified"
"Sample Name:","SampleName171"
"Sample ID:","SampleIDe171"
"Option:","Option171"
"Analyst:","dp"
"Date/Time:","06/23/2026 02:37:02 PM"
"Comments:","LDPE_full_6_23_26"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40246002360SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","200.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","2.0 nm"
"EM Wavelength Start:","200.0 nm"
"EM Wavelength End:","500.0 nm"
"Data Interval:","2.0 nm"
"Scan Speed:","6000 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"AutoFile_20260623_142533 - CorrectionData"
"EM Wavelength/EX Wavelength",200,202,204,206,208,210,212,214,216,218,220,222,224,226,228,230,232,234,236,238,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450,452,454,456,458,460,462,464,466,468,470,472,474,476,478,480,482,484,486,488,490,492,494,496,498,500,
200,91682.381,84247.085,68209.996,60324.883,45327.952,46389.870,28964.911,30018.055,25475.170,22706.208,19739.593,16777.981,11470.507,9497.490,7770.474,5308.540,6175.770,4736.650,4260.180,4432.717,3945.851,2866.912,2519.946,3368.696,2307.104,1442.633,2106.884,2160.556,2335.239,2580.153,2159.657,2073.249,1981.862,1499.300,1652.141,2113.239,1330.083,1906.176,1401.476,1680.834,1365.830,1299.050,1499.058,1471.425,1636.086,1534.165,1023.199,1032.347,1541.875,1006.680,1141.010,1466.492,863.440,882.806,904.460,914.228,868.615,804.518,874.002,873.767,912.126,829.748,816.154,804.947,669.239,962.165,642.831,741.944,613.709,692.252,666.212,555.811,606.842,710.468,587.945,676.582,453.944,569.569,449.165,582.182,591.299,590.921,651.497,447.208,508.242,495.516,450.699,600.817,438.509,771.865,583.775,594.892,558.611,546.170,741.276,691.386,612.959,883.682,867.385,816.487,857.565,804.081,856.898,672.195,676.515,589.633,425.380,527.465,487.265,444.779,391.290,469.084,392.456,466.635,334.557,382.022,384.251,379.056,321.691,315.174,342.168,372.558,410.330,307.962,326.251,319.579,397.396,317.336,324.330,390.733,356.015,299.086,273.328,295.617,300.048,268.275,275.207,272.657,388.529,343.051,342.969,352.160,376.605,306.761,361.608,354.882,249.097,318.017,338.619,295.141,417.270,
202,144741.645,108059.071,83847.428,48182.041,58997.228,36602.780,39489.421,31216.493,20290.438,19547.066,11939.435,11538.150,12049.148,6537.689,6870.531,7400.631,4895.380,5141.168,5173.668,4051.262,3608.478,3898.347,4014.917,2400.350,2627.713,3167.551,2822.198,2009.687,2640.011,2023.278,1284.434,1537.929,2334.042,1793.904,1667.623,1797.598,1495.213,1801.919,1508.277,1289.504,1573.381,1776.304,1198.012,1564.550,1605.334,1535.429,1056.284,1210.011,1622.870,1614.718,1146.921,1208.828,1411.386,987.556,963.844,914.196,849.137,957.016,1192.441,831.118,836.178,975.480,835.312,911.910,975.599,657.011,759.549,648.610,702.043,770.708,673.877,626.281,664.454,620.516,594.589,731.419,619.628,666.320,517.089,717.479,541.218,476.372,473.930,647.942,636.355,619.827,568.973,595.698,556.077,665.026,616.769,602.461,595.914,622.855,551.714,580.985,752.554,800.206,817.028,830.802,862.133,924.157,957.028,796.310,809.804,666.263,600.013,510.538,554.371,427.064,459.219,382.490,454.184,339.003,371.628,381.844,419.416,301.681,272.582,358.654,326.827,307.413,469.203,346.292,260.331,355.099,404.097,335.838,328.257,365.216,303.259,286.307,357.257,279.241,302.419,334.649,283.496,277.886,342.811,333.211,253.788,297.239,307.461,308.224,332.749,335.803,314.627,334.870,299.489,298.074,357.621,
204,125784.972,127757.045,119784.174,83876.405,66996.021,54877.191,38057.383,28275.147,17430.403,22138.195,15540.532,8965.659,9139.306,8089.602,5616.692,7654.030,4864.643,4140.827,4834.002,4303.360,2842.261,3263.186,2490.611,2605.990,3362.258,2596.763,3270.171,2254.321,1889.010,1700.181,1868.575,1626.645,2095.527,1715.249,2084.889,1531.336,1741.933,1213.290,2176.306,1497.398,1179.249,1461.895,1172.980,1454.378,1297.547,1533.001,1410.021,1512.269,1438.707,1047.297,1492.612,1252.273,1058.102,957.654,992.918,673.253,1006.386,927.462,829.250,934.354,811.332,758.080,893.093,865.142,726.669,685.898,881.347,742.126,625.046,676.460,550.766,633.965,723.580,756.723,625.373,544.318,613.444,649.856,753.806,580.952,629.487,559.180,588.605,510.873,552.645,557.369,650.957,476.672,673.702,713.522,653.903,622.429,552.984,487.613,605.710,563.667,523.256,626.622,593.215,928.595,959.747,1060.200,963.079,955.767,981.025,824.786,835.499,713.778,664.349,549.719,556.725,311.144,334.116,393.971,485.334,349.763,446.691,396.012,354.868,364.416,326.023,375.984,356.076,361.146,318.483,261.001,343.933,356.581,282.621,335.737,293.889,277.805,305.298,318.676,300.667,294.314,303.359,282.596,299.463,301.621,313.601,336.465,305.586,293.925,311.326,289.460,339.618,341.597,345.910,357.739,248.281,
206,112710.349,118664.247,123701.357,106615.672,89184.764,70844.913,48326.542,30916.714,23014.312,18830.197,19068.560,12929.214,12769.450,10757.456,7901.147,7703.132,4622.322,5492.913,5779.023,4166.624,3605.774,3325.614,3267.243,2673.687,3098.487,2419.652,2166.774,2798.847,2131.129,1976.292,1633.199,1391.440,1669.202,1758.250,1509.994,1667.322,1953.786,1543.042,1758.446,1682.107,1781.878,1543.063,1067.567,1216.095,1332.398,1453.383,1234.690,1454.182,1169.977,1157.666,1281.987,1151.952,1064.069,1188.759,1180.118,802.587,979.506,968.206,745.883,823.107,712.171,979.101,685.585,802.650,757.440,821.588,874.774,761.757,616.021,528.708,789.235,614.453,710.513,723.972,681.439,537.394,626.556,754.072,665.415,363.862,618.630,525.048,466.765,596.213,616.889,589.315,618.607,512.785,559.768,564.379,551.501,650.486,698.370,570.498,603.935,599.498,450.206,684.573,595.681,689.104,701.979,841.724,992.138,1051.901,1035.567,1202.798,997.501,1078.325,910.441,852.996,635.402,577.320,507.884,447.389,462.637,408.277,430.488,459.528,344.914,348.707,349.912,373.106,311.688,388.370,326.696,298.273,342.128,332.552,312.254,242.682,324.541,330.334,301.405,290.812,285.052,237.204,280.944,398.283,297.758,379.639,362.663,260.550,286.851,343.640,325.462,379.016,275.552,337.927,348.015,356.304,301.630,
208,90107.723,103878.244,136344.714,145034.017,147701.927,107605.347,70661.312,48033.133,31318.919,24198.107,21443.178,13628.453,9475.796,7546.669,9172.813,6819.719,6062.455,4141.294,4349.766,5841.175,2998.317,3756.220,2859.934,3267.988,2918.063,2048.451,2540.064,2443.683,2612.796,2327.877,2340.258,1800.783,2245.567,1621.313,1676.334,1913.169,1989.383,1809.010,1215.176,1319.607,1480.840,1183.508,1553.166,1363.297,1326.487,1251.145,1146.137,972.039,1349.431,1116.474,1185.536,1058.592,1098.948,1119.536,987.387,901.157,982.245,908.587,1023.730,982.837,783.770,721.693,899.959,674.693,601.418,895.501,782.889,814.271,828.377,559.609,744.472,584.598,713.389,646.556,694.113,738.136,604.938,555.748,612.713,553.251,684.897,608.538,580.547,553.002,594.824,520.635,535.605,627.751,466.191,581.663,591.212,539.364,687.235,722.880,602.067,612.635,637.040,528.257,678.871,526.798,591.307,544.171,874.728,896.658,1005.028,1212.848,1220.143,1152.758,1211.668,1144.627,1043.595,935.018,741.402,692.698,545.632,445.493,372.021,392.677,348.398,355.578,386.310,373.036,371.871,322.360,376.798,299.426,355.983,318.348,371.482,300.588,342.343,336.569,255.729,303.151,315.105,286.920,269.672,335.436,284.446,317.907,418.086,260.458,321.665,318.640,341.571,318.249,336.615,306.016,250.946,317.852,369.598,
210,104722.755,123741.727,134546.403,135865.681,178088.709,134594.609,114576.422,73455.119,40322.880,34245.757,21123.399,15869.362,12661.402,8637.065,7033.841,7486.214,4755.626,4256.099,5160.483,3771.681,3394.729,3421.857,3481.740,2523.691,2279.995,2134.704,2570.914,2233.225,1463.305,2386.042,2143.616,2610.116,2203.679,1835.392,1594.491,1943.747,2111.668,1463.115,1692.193,1573.630,1962.520,1137.900,1073.925,1637.353,1465.054,1290.395,1045.256,1060.119,1389.847,1495.366,1364.175,1547.718,1140.116,742.822,754.806,1027.215,1100.620,516.427,863.472,883.302,997.348,823.552,900.649,946.908,705.390,888.645,620.365,562.065,619.517,898.596,650.495,450.406,569.565,733.758,741.432,713.333,662.567,696.929,533.333,659.682,576.600,525.216,717.938,587.416,468.618,622.649,595.981,574.663,549.000,591.110,527.962,564.273,611.315,699.553,552.078,551.130,760.350,662.318,656.208,587.637,628.152,491.879,670.879,811.547,881.163,981.557,1159.699,1265.254,1371.791,1418.499,1413.871,1405.217,1285.358,1084.825,782.825,659.591,507.270,500.089,446.824,386.114,413.805,370.724,396.288,296.879,366.392,371.678,359.364,296.816,367.681,339.824,275.996,312.663,285.465,275.395,283.141,348.310,263.197,292.474,329.047,323.742,302.493,299.086,360.725,287.093,377.376,273.957,256.625,306.178,315.402,258.351,368.733,
212,87044.710,99138.161,119009.021,146378.204,175629.778,160021.084,163812.411,122032.182,71318.987,50344.224,21301.682,16819.742,13639.911,9287.412,8240.694,6747.955,7079.322,3207.781,3164.322,3767.509,3792.717,3451.542,3265.168,1747.250,2551.840,3184.293,2775.681,2862.058,2735.958,2073.158,2498.222,1947.944,2360.539,2200.277,1759.503,1344.145,1840.860,1624.995,1437.007,1422.243,1414.522,1852.982,1084.854,1032.555,1326.415,1401.276,1621.050,1368.814,1348.588,1080.436,1360.469,1187.472,1104.545,769.316,1119.996,1133.158,966.745,858.714,735.772,982.035,863.322,846.816,714.430,947.535,990.503,659.720,743.584,537.418,664.671,651.517,587.990,721.700,729.881,524.944,683.360,639.544,594.913,677.223,677.318,617.468,574.305,623.715,547.533,562.719,631.313,578.845,494.778,659.799,458.833,678.569,450.184,605.857,503.304,742.085,589.001,681.312,693.471,589.311,682.331,667.871,632.958,673.745,578.108,623.313,631.825,853.670,1005.748,1117.308,1151.394,1388.341,1533.370,1620.245,1519.200,1464.537,1196.554,1210.501,812.824,747.004,628.418,464.085,416.425,396.914,413.295,270.678,294.427,252.583,312.024,343.412,390.559,309.705,348.159,280.243,306.723,259.973,271.171,301.321,337.958,289.972,301.078,321.214,261.105,368.923,342.386,326.166,323.495,229.460,251.586,298.451,313.770,284.428,276.786,
214,114759.076,81275.075,94786.433,109593.747,141804.278,195029.061,192200.037,174146.497,127473.305,94166.860,46275.727,24700.343,8666.469,8769.475,7180.749,5373.925,6389.178,5069.894,4281.035,4019.255,2756.901,3694.973,2945.315,3322.840,2347.588,2683.834,2309.959,2765.790,2146.897,1944.794,2114.601,2073.435,2025.610,2189.660,1759.906,1629.632,1540.366,1862.175,1912.683,1575.033,1293.928,1357.603,1533.372,952.721,1178.507,1232.927,1448.235,1102.909,1243.046,1368.349,1320.557,1198.884,1149.293,1063.256,1098.127,794.936,1029.411,1300.614,998.759,1043.089,859.028,1105.465,816.672,913.186,768.865,756.401,824.894,805.078,694.680,518.175,661.159,889.098,707.551,713.557,568.660,613.717,660.150,621.881,715.387,453.850,610.518,680.142,536.403,534.879,533.298,502.256,622.694,423.404,538.820,429.823,457.137,602.132,396.392,604.309,608.791,535.548,669.005,739.662,744.400,791.798,584.974,645.933,560.971,598.626,460.182,586.759,704.810,815.702,888.502,1187.978,1463.207,1717.506,1867.709,1925.514,1802.311,1816.555,1503.833,1355.298,943.601,834.155,645.436,445.823,529.942,368.699,278.097,284.690,350.114,384.362,313.855,360.263,309.961,262.538,367.271,246.428,251.719,235.805,291.679,288.219,290.868,302.622,325.578,297.896,269.401,260.216,276.767,269.548,353.045,314.912,327.756,347.291,349.457,
216,87991.582,96022.308,81054.961,81864.569,122214.946,150106.363,199992.497,214107.991,195217.875,143441.007,88578.041,36916.737,18438.576,14173.924,7667.948,6360.327,6119.755,5373.121,4707.401,3841.697,2568.482,2880.206,2625.438,3946.961,3146.170,2263.678,2298.102,1579.649,1788.927,1321.206,1680.951,2111.492,1473.512,1783.166,1677.149,2244.651,1768.372,1617.683,1586.689,961.330,1898.803,1568.392,1559.575,1428.776,1190.597,1325.965,1167.342,1260.452,1499.775,919.627,1109.144,959.958,801.603,1171.076,1184.461,896.104,1187.639,782.383,787.174,1016.864,732.294,740.265,657.005,934.710,908.452,806.102,625.858,800.337,621.638,654.397,801.106,582.736,715.204,497.344,729.839,667.412,651.698,708.187,581.329,525.477,666.660,640.437,591.652,609.474,445.510,523.728,616.934,464.637,618.203,566.100,620.447,491.225,645.421,546.748,469.145,562.135,572.800,692.020,631.141,655.177,663.555,739.448,558.496,673.229,625.013,516.227,479.042,520.300,642.074,889.765,1067.113,1396.413,1536.685,2061.861,2124.732,2156.245,2136.800,2046.465,1741.444,1444.275,1070.066,832.348,590.126,507.521,432.977,362.665,300.065,304.397,312.661,314.570,269.879,291.692,232.068,229.949,221.735,276.845,271.903,319.246,299.306,303.541,274.192,233.895,289.643,247.615,365.934,307.639,348.120,243.324,366.307,336.317,294.993,
