"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.19"
"[Data Information]"
"Data is:","Modified"
"Sample Name:","SampleName162"
"Sample ID:","SampleIDe162"
"Option:","Option162"
"Analyst:","dp"
"Date/Time:","06/22/2026 11:31:07 AM"
"Comments:","one eighth dilution poly+ di water sample 6_22_26"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40246002360SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","200.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","2.0 nm"
"EM Wavelength Start:","200.0 nm"
"EM Wavelength End:","500.0 nm"
"Data Interval:","2.0 nm"
"Scan Speed:","6000 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"AutoFile_20260622_112044 - CorrectionData"
"EM Wavelength/EX Wavelength",200,202,204,206,208,210,212,214,216,218,220,222,224,226,228,230,232,234,236,238,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450,452,454,456,458,460,462,464,466,468,470,472,474,476,478,480,482,484,486,488,490,492,494,496,498,500,
200,87352.702,77594.967,43874.954,52852.138,39416.971,41431.022,27397.951,18102.721,23954.675,16744.456,7594.311,11771.033,8492.906,8713.192,3642.448,7118.401,4643.383,5013.219,2792.888,1988.354,3026.034,2749.760,3533.752,1984.686,2417.504,2174.410,2359.773,1260.944,2202.218,1867.752,1798.215,1347.326,2014.790,1963.055,1800.825,1469.004,1269.718,1192.619,1278.734,1711.399,1261.940,1565.460,1449.991,1316.820,1104.700,995.363,1326.448,1050.474,1076.750,768.511,1039.660,851.034,1176.461,894.049,740.074,719.272,744.595,1063.612,805.711,684.210,766.146,652.532,822.318,807.411,673.955,585.356,1005.590,515.199,755.302,523.254,539.777,580.925,478.024,518.266,546.720,555.992,483.124,504.146,434.640,490.700,460.179,556.657,382.608,545.435,459.574,528.287,557.877,386.253,410.501,495.555,464.264,445.871,550.307,580.327,452.187,675.588,690.180,722.490,811.472,684.327,841.788,783.503,640.121,510.525,515.159,437.546,341.291,369.527,311.080,313.122,306.622,321.635,388.251,327.880,320.107,352.099,284.601,289.609,274.959,305.254,266.944,273.460,381.263,260.334,349.283,298.961,301.053,168.311,364.963,263.373,284.683,205.267,226.314,186.005,278.867,206.329,279.264,290.046,334.201,278.712,308.964,258.678,236.344,227.267,351.622,265.878,320.537,280.637,248.671,248.841,301.729,
202,106412.494,105609.888,79246.070,57452.549,42411.663,33311.476,36831.237,17435.249,20472.815,16494.892,11964.515,10386.250,10399.166,8994.841,3979.203,7875.173,4913.630,3387.939,4813.778,3159.989,2867.577,3634.599,2536.094,3597.668,2602.928,1583.230,1980.241,1173.297,1475.161,1220.184,1902.537,2060.301,1703.435,1949.513,1807.179,1599.889,1482.334,1375.573,1600.479,1179.862,1457.231,1472.298,1038.768,1218.053,1416.437,1538.772,1198.414,841.860,1129.438,1087.452,727.321,960.117,796.447,934.632,932.958,715.278,660.659,869.857,719.317,692.665,876.210,546.507,772.753,593.555,464.671,547.492,729.341,708.421,557.587,552.522,501.096,561.929,636.238,596.774,626.567,594.296,519.316,490.347,493.143,478.641,391.487,586.479,451.211,480.386,493.436,391.373,477.864,371.471,507.812,519.871,613.648,421.682,449.948,383.793,480.447,552.638,603.062,642.776,761.827,750.910,723.539,757.950,755.348,765.682,635.731,730.733,630.966,457.270,496.759,359.106,418.148,293.056,370.189,366.714,324.044,289.249,300.391,307.321,346.273,305.671,365.428,296.976,312.476,307.845,340.140,302.532,194.769,290.149,217.710,354.908,304.576,228.424,338.971,305.798,274.792,303.186,225.359,228.790,276.043,346.975,263.817,261.114,402.473,223.396,325.010,274.762,311.198,196.815,263.253,318.982,353.733,
204,96971.044,114433.530,116361.455,82987.277,56831.187,47011.810,29230.375,29253.665,13844.758,18534.304,15613.995,8123.366,10751.076,8231.971,7929.418,6557.448,2016.618,4006.779,3909.476,4980.211,3240.715,2556.339,2448.799,2715.175,2639.045,1897.170,1539.508,1659.496,1472.345,1840.224,2043.849,1814.100,1640.085,1497.762,1247.808,1930.542,1762.061,1758.888,1371.914,1724.372,1395.040,1417.468,1412.701,1060.054,984.263,1465.279,775.170,1159.593,1107.150,819.120,1326.030,1057.296,1400.315,1082.512,1028.516,739.085,995.817,949.096,742.121,660.391,814.376,553.211,647.346,836.078,526.453,573.971,519.712,565.609,417.924,748.726,742.882,881.312,682.840,661.575,761.047,481.050,538.116,498.042,473.364,517.624,456.550,487.907,556.723,360.751,499.266,565.193,472.957,382.177,530.729,563.976,517.611,576.065,526.458,454.279,393.805,522.144,597.052,603.430,749.220,724.172,758.286,908.448,801.498,850.574,825.677,875.518,724.852,721.079,733.503,497.751,388.558,330.907,336.259,366.467,281.623,301.932,277.694,262.030,202.825,255.946,386.098,343.076,301.382,286.652,244.252,305.293,265.532,327.804,277.151,271.254,301.026,242.913,255.388,252.198,370.978,227.783,238.933,206.716,235.152,256.960,306.001,275.201,270.416,197.140,238.624,242.617,236.186,280.503,228.036,286.791,325.239,
206,115430.292,121030.206,127272.360,100251.081,94846.390,48257.877,37846.318,27122.133,24774.099,15466.965,15868.075,12877.513,8715.996,8701.832,4990.988,5840.532,5355.909,5160.564,2926.698,3695.411,3008.774,2422.664,2285.450,3158.584,3103.646,1520.781,1991.634,1595.575,2490.304,2035.978,1691.463,1922.554,1446.973,1453.101,1506.402,1778.537,2090.352,1280.911,1109.201,1290.829,1670.629,1596.508,1302.087,1377.436,1409.817,873.557,871.416,1289.827,1183.716,1056.039,1306.829,737.825,1007.012,1026.358,1021.621,1118.187,999.278,747.151,790.075,724.857,613.181,689.770,747.262,716.232,971.045,843.252,733.956,1199.975,593.732,778.326,711.616,596.307,768.872,604.586,733.769,520.012,474.995,677.764,470.688,502.741,487.392,525.260,535.128,483.414,559.646,480.523,538.242,511.393,495.043,482.810,565.482,576.268,530.721,598.170,623.128,611.569,455.030,483.839,584.949,567.400,632.336,905.707,911.277,920.444,1002.479,1099.736,1057.595,1019.941,906.598,789.026,677.667,636.264,437.835,435.101,324.942,308.913,321.276,368.838,401.876,352.857,338.465,315.919,245.712,300.197,325.057,354.795,300.469,341.546,222.859,252.109,273.427,279.649,275.816,242.050,294.144,286.778,239.806,252.375,247.071,272.131,448.713,273.328,289.869,335.059,239.683,247.725,274.594,228.852,287.566,320.352,422.567,
208,122859.597,119477.009,155079.718,118639.526,122274.764,67810.652,64449.416,35503.237,29534.770,14826.226,16491.728,12594.528,8133.683,6904.748,6967.456,4636.537,5950.055,5558.456,7189.970,2029.631,2537.169,1826.956,3808.991,2439.141,2213.652,3143.046,2369.704,1766.845,2322.979,1663.558,1514.857,1736.259,1998.922,1620.776,1974.450,1833.494,1580.145,881.587,1080.757,1394.419,1269.885,1429.198,1476.805,1064.836,1589.580,560.525,1394.651,1121.541,632.392,1001.769,1256.917,817.952,1011.826,871.958,1078.752,870.791,824.082,862.227,638.465,875.953,769.128,720.229,959.645,675.995,538.352,976.879,716.239,745.675,547.218,820.832,506.283,611.265,535.794,578.297,522.926,456.430,493.098,556.593,495.330,449.093,510.551,440.344,579.020,502.332,480.301,524.740,379.873,464.314,461.364,511.118,476.432,548.318,608.297,595.822,522.614,500.003,687.129,438.917,401.797,516.023,569.779,639.738,745.295,837.598,843.925,1061.442,1172.936,1233.275,1132.926,1108.118,1012.467,980.879,691.642,521.858,567.428,441.428,289.296,331.361,332.595,367.114,360.452,268.061,395.215,416.020,354.715,251.314,267.749,253.664,283.204,264.681,295.284,301.747,297.266,199.768,275.302,290.408,329.016,229.769,243.410,309.212,282.239,313.854,209.156,270.351,277.382,266.894,318.324,240.492,308.363,282.366,333.163,
210,85560.223,110653.139,120827.268,130287.567,161995.829,108491.264,95429.161,50287.177,34768.784,17692.233,13509.999,16179.892,10986.561,6466.731,4279.977,7347.296,6397.315,3151.666,3394.369,2430.712,3376.738,3269.118,3741.027,3103.166,1645.947,2691.446,1559.998,1790.511,1637.930,1781.213,2251.853,1272.522,1436.785,1072.888,2129.179,1810.417,1292.689,1546.414,1562.987,1224.340,1221.603,1694.152,1370.700,1009.921,1205.966,1082.417,1568.273,1017.883,1161.752,1420.391,1391.521,1000.924,939.276,770.917,1103.718,903.120,944.031,976.424,779.915,809.988,739.081,582.663,770.605,663.231,720.036,608.966,815.743,798.108,420.707,654.516,572.686,477.895,730.055,761.767,584.851,603.705,472.263,585.048,598.464,639.912,315.578,571.455,434.447,481.460,430.275,462.656,497.246,473.958,506.689,553.391,581.937,806.733,552.472,502.528,582.075,619.370,668.781,524.870,600.221,495.378,535.860,501.951,479.689,565.212,861.680,894.288,1104.870,1268.926,1243.680,1317.387,1399.008,1211.599,1066.239,909.937,733.753,480.444,485.353,426.190,334.895,322.915,287.332,394.570,292.986,328.340,305.998,232.654,299.058,323.538,339.824,275.313,245.287,210.705,280.867,274.050,269.858,236.008,244.336,316.730,248.254,299.958,354.602,194.692,204.435,245.569,263.970,310.921,287.083,303.585,294.274,210.940,369.531,
212,61084.860,89636.146,133391.469,149555.839,166203.590,163224.597,135086.122,89975.258,58530.695,28803.604,14163.774,9691.278,12570.746,7539.465,6945.078,5113.860,5871.776,4562.525,4722.707,3200.899,3428.044,2973.670,2147.437,2592.577,1933.396,1726.500,1615.317,1637.102,2162.056,1585.643,2005.996,2030.252,2051.860,2297.398,1824.469,1550.851,1790.982,1684.205,1508.428,1242.976,741.184,1460.155,1208.524,1479.070,1285.036,2429.914,1418.301,1000.602,1314.938,849.730,1044.429,897.867,856.693,925.558,431.045,818.037,973.564,789.325,837.684,736.124,637.257,620.092,670.395,623.083,605.209,686.967,409.725,443.813,786.816,516.388,683.472,488.110,706.148,821.674,617.262,683.807,505.981,594.618,605.648,637.301,522.244,587.279,441.913,484.049,451.779,546.736,647.250,441.264,516.011,630.928,493.371,379.998,560.881,454.014,382.911,581.904,572.257,603.214,683.339,488.655,587.642,487.018,418.520,558.940,549.344,715.620,771.084,1072.667,1199.328,1420.476,1425.925,1594.507,1444.068,1332.891,1187.746,929.765,828.769,652.494,530.237,418.032,345.092,326.354,320.003,358.179,386.523,285.712,258.780,316.343,319.342,319.739,318.738,283.117,235.189,266.424,218.161,203.508,244.111,276.348,244.391,281.197,296.944,226.841,291.951,255.501,285.031,264.151,318.083,262.583,269.097,334.062,290.339,
214,75875.723,74515.218,84364.947,103285.904,137216.746,179844.696,179832.056,154241.327,97310.475,73087.199,31833.668,15453.581,10707.941,8041.199,6674.598,6274.653,4181.896,4129.110,6237.392,2912.072,3517.127,3562.370,2281.989,2962.161,2175.863,2294.767,2074.331,2165.399,1329.856,1514.874,1884.270,2097.419,1550.787,4038.691,1591.798,1613.515,1955.764,1486.282,1711.952,1396.572,1434.886,1160.009,1612.707,1622.546,1253.728,1424.198,937.751,990.830,1155.221,1204.668,1210.908,1126.833,665.702,1175.146,1480.913,640.377,884.019,677.598,860.892,831.468,728.206,619.726,715.831,672.886,795.592,645.261,786.899,552.310,493.829,869.910,671.304,729.469,690.062,654.962,794.717,572.809,556.945,558.645,519.422,435.361,507.891,597.967,542.252,598.771,484.859,485.659,544.352,543.408,535.638,493.731,576.496,537.694,539.876,471.089,555.009,505.457,478.309,642.631,644.295,464.549,633.958,468.969,548.893,545.467,467.117,489.981,586.874,692.340,872.114,1137.982,1342.910,1515.718,1636.611,1544.205,1575.081,1590.479,1345.521,1147.408,880.066,706.568,542.638,475.307,339.246,310.582,272.553,308.764,308.261,326.522,277.470,312.459,281.335,254.634,277.382,277.400,268.892,219.880,248.454,215.099,246.647,296.930,334.918,288.347,251.745,295.442,225.827,258.977,254.589,234.667,307.041,331.315,296.333,
216,75747.654,68973.542,75147.858,89360.142,106351.619,152212.726,193003.978,192944.927,157504.757,119961.316,70813.499,32688.562,20996.167,10165.408,6111.118,4405.568,5138.655,6119.667,4575.547,3735.774,2199.774,2458.713,2401.827,2152.962,3172.626,2547.291,2092.475,2036.524,3042.760,1997.466,1502.919,1657.968,1876.084,1921.797,2158.914,1948.949,1397.093,1367.711,1449.315,1188.223,1703.480,1267.497,1577.304,1002.272,979.725,1625.446,1073.968,1294.182,850.254,909.679,957.380,1146.593,943.248,1180.808,1171.908,937.233,819.416,505.424,590.578,745.554,710.341,855.805,697.041,942.070,693.865,701.802,543.127,672.135,636.943,579.416,633.151,707.867,564.287,604.484,729.341,456.062,670.318,602.211,482.756,537.824,427.558,459.019,555.978,470.559,369.250,534.015,482.970,492.006,494.839,436.003,460.016,541.310,420.211,674.247,435.580,550.917,475.040,645.668,588.372,655.130,682.406,705.352,613.850,634.630,483.081,461.198,497.925,532.216,495.455,758.625,1003.540,1047.781,1453.788,1554.822,1776.958,1768.286,1723.600,1665.825,1512.486,1371.627,1055.007,764.416,582.113,462.756,382.007,360.876,342.945,290.874,298.483,323.516,283.621,308.531,300.460,277.087,224.098,228.688,284.412,220.667,239.770,290.673,282.880,346.697,252.211,338.901,181.818,326.749,234.933,255.769,314.483,183.427,311.457,
