"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.19"
"[Data Information]"
"Data is:","Modified"
"Sample Name:","SampleName180"
"Sample ID:","SampleIDe180"
"Option:","Option180"
"Analyst:","dp"
"Date/Time:","06/24/2026 03:10:38 PM"
"Comments:","pp pellets fourth dilution microwaved 5 minutes 6_24_26"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40246002360SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","200.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","2.0 nm"
"EM Wavelength Start:","200.0 nm"
"EM Wavelength End:","500.0 nm"
"Data Interval:","2.0 nm"
"Scan Speed:","6000 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"AutoFile_20260624_145952 - CorrectionData"
"EM Wavelength/EX Wavelength",200,202,204,206,208,210,212,214,216,218,220,222,224,226,228,230,232,234,236,238,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450,452,454,456,458,460,462,464,466,468,470,472,474,476,478,480,482,484,486,488,490,492,494,496,498,500,
200,113037.908,102414.111,77305.869,55861.702,38270.243,27789.101,30152.578,25350.228,22189.047,20042.418,13011.768,11979.777,12143.470,6057.135,8341.893,8415.268,3817.680,5271.396,4997.058,3738.952,3729.113,3386.930,3008.751,2194.024,2188.745,2188.458,1644.003,1368.795,2066.261,1881.160,1671.080,2170.074,1744.094,1429.907,1602.958,1436.905,1148.469,1517.171,1217.231,1188.617,1090.591,1222.201,1356.692,1347.060,883.234,1383.502,857.692,1334.768,1627.904,1022.668,1148.028,1018.745,1165.991,672.784,685.708,1000.293,1284.211,890.919,807.830,868.506,647.155,804.811,860.611,679.423,775.993,653.375,777.453,756.033,442.197,670.051,670.214,681.437,714.564,556.282,670.022,535.616,537.235,639.485,588.661,436.614,429.480,530.570,518.978,470.484,515.547,479.125,543.415,547.015,586.447,599.000,591.664,592.836,482.732,530.006,563.298,524.575,673.847,780.103,778.333,919.421,769.304,817.890,804.861,641.060,575.399,557.593,437.702,385.138,394.120,422.920,411.309,322.132,325.169,344.669,325.642,367.507,395.058,342.164,313.123,332.680,339.441,385.953,275.496,293.182,329.725,288.474,334.998,308.126,297.055,336.656,290.073,285.082,252.134,322.635,234.870,357.087,325.722,264.243,252.187,280.255,288.143,298.430,281.084,365.678,265.311,243.938,226.126,272.748,274.376,290.898,280.559,
202,126056.022,95808.274,88196.206,64703.137,50169.509,44192.306,20950.675,21718.569,24918.810,14148.767,15174.824,15261.378,11631.659,7354.210,6833.456,7939.447,2701.454,4507.341,4582.878,3958.082,3480.114,2669.759,2145.870,2677.638,2242.080,2231.847,2851.500,2069.720,1925.225,2674.990,2702.409,1652.502,1361.423,2012.700,2378.486,1355.502,1748.156,1590.363,1348.221,826.354,916.327,1462.155,1782.650,1429.256,1535.021,1481.304,1399.201,1078.919,878.494,1664.315,972.034,1120.008,922.228,804.588,956.697,1228.525,811.701,910.553,736.236,847.341,729.510,908.423,819.355,717.163,733.864,901.439,651.647,651.743,629.243,640.336,645.107,514.523,548.375,649.639,476.958,438.625,470.811,455.993,565.615,590.022,651.257,518.419,504.459,503.385,605.992,463.590,481.966,592.677,379.020,544.589,601.621,551.331,491.872,545.280,475.059,675.584,609.188,823.454,749.045,926.534,857.471,944.662,970.755,785.682,725.964,676.631,535.912,539.566,414.240,482.289,367.645,446.062,333.046,263.439,352.943,367.080,439.292,273.260,297.406,281.456,299.608,331.565,340.277,356.105,306.938,349.118,303.357,333.383,247.469,342.462,248.744,302.450,310.690,275.551,271.404,319.862,249.545,312.040,317.685,302.645,306.047,300.774,279.167,244.884,180.503,313.842,295.869,302.660,283.126,367.506,278.710,
204,124872.519,113816.310,112862.331,98050.381,65322.002,41015.657,29930.830,24901.353,21369.242,20033.539,16822.649,11204.030,8158.673,7323.483,5873.011,6123.873,5487.110,3396.394,4023.480,3798.860,2327.427,3417.708,2837.707,2113.976,3055.462,2877.646,2162.336,1944.494,2841.499,2099.633,1598.971,1994.033,2419.716,2247.307,1842.183,1594.379,1352.406,1316.173,1217.926,1667.472,1513.017,1693.522,1369.445,804.511,1196.896,1035.414,1257.831,1249.683,1160.544,974.478,1385.055,744.473,1069.036,1054.002,939.016,1060.396,677.248,935.461,1020.575,937.822,907.388,824.621,703.939,669.951,677.995,724.963,637.261,614.503,607.561,644.898,672.865,625.227,547.704,644.675,431.060,590.951,503.940,393.029,584.920,490.352,497.153,468.952,455.153,552.686,417.554,615.485,518.769,461.188,579.430,474.033,459.832,496.351,487.652,633.203,552.870,525.986,499.296,712.263,648.591,727.319,1005.252,900.331,979.669,934.675,816.867,935.982,782.215,813.740,543.901,540.835,424.733,364.973,321.507,487.970,420.867,248.318,287.621,297.004,330.216,364.812,352.905,367.612,406.347,317.486,309.474,207.020,267.451,325.319,305.848,332.519,298.775,262.194,254.426,297.624,240.569,267.174,258.852,319.650,315.437,310.659,271.869,316.680,285.752,252.109,291.304,264.974,292.578,276.631,267.191,319.282,300.200,
206,88491.817,104578.348,149339.085,88013.013,97432.563,62651.120,42472.732,33099.080,24386.806,20123.460,14757.830,14088.010,9467.256,9250.579,6162.120,4261.800,6891.067,5281.808,5613.050,3945.909,3023.467,3292.352,2678.363,2984.464,2948.604,3007.980,2453.028,2004.812,2304.778,2284.774,1955.980,1582.618,1821.457,1937.085,1562.382,2288.785,1523.220,1544.459,1583.300,1528.378,1690.578,1448.130,892.683,1280.754,1675.417,1087.150,1261.613,1478.126,909.650,1018.468,930.213,1180.903,1197.500,809.521,1052.733,831.483,808.103,973.574,875.636,975.851,867.589,816.115,745.354,666.986,722.119,734.161,721.656,630.052,643.019,793.809,584.969,620.335,541.202,649.395,370.876,666.684,575.063,436.379,644.686,547.615,549.345,558.237,477.769,549.320,590.078,548.904,590.153,430.275,564.196,514.320,551.791,574.954,574.486,512.423,594.847,576.662,427.740,678.932,567.361,603.274,809.070,870.985,1039.164,869.768,964.155,1069.993,995.903,971.753,891.023,816.615,606.092,499.671,573.724,462.451,331.892,404.979,283.536,341.320,378.932,343.759,388.925,390.248,297.676,325.265,271.255,296.063,341.195,254.607,332.302,301.171,309.766,290.266,251.311,257.698,292.812,305.385,246.322,276.509,305.621,309.122,255.942,268.040,329.658,318.156,315.384,304.375,314.940,287.104,356.652,303.485,336.382,
208,86347.128,130670.030,147809.951,141405.109,123628.790,91199.102,58907.042,48680.232,31287.069,20695.190,13203.460,12148.895,9004.971,10209.241,5300.214,5308.632,5055.848,5142.611,4339.978,3940.894,3494.365,3173.883,2961.128,3567.887,2716.276,2537.493,2484.721,1808.200,2163.408,2005.269,1378.416,2082.208,2086.677,1549.439,1898.696,1498.572,1623.597,1465.891,1287.345,1280.481,1163.331,1380.153,1362.356,1161.167,1179.181,1459.414,1098.502,1143.522,666.864,1073.558,1047.797,988.106,1021.420,702.110,1098.054,840.164,815.584,827.194,819.441,707.525,742.740,921.574,696.903,808.666,656.660,712.971,759.073,725.785,736.739,786.433,323.375,709.048,543.496,505.022,540.682,686.379,512.597,522.647,556.193,616.908,408.642,539.129,551.197,506.625,535.630,510.883,420.851,660.519,614.835,507.835,491.593,487.054,550.465,548.662,550.496,765.099,485.600,532.757,686.275,491.528,607.141,661.370,757.971,771.044,923.964,1114.320,1276.108,1121.707,1267.736,1036.912,968.700,806.277,841.824,577.149,472.768,450.691,362.035,353.999,333.765,302.872,337.011,316.268,338.902,318.256,326.669,275.881,402.178,324.475,287.675,259.534,269.474,263.864,203.931,265.663,267.063,297.616,267.852,246.108,270.589,271.567,265.312,321.933,300.567,301.606,353.901,252.825,242.304,275.455,283.925,213.133,294.214,
210,96134.896,96851.657,115558.551,157475.202,146224.398,121336.235,100906.468,66655.902,44595.188,34498.356,18636.825,16189.452,9891.421,9291.049,10008.125,6952.905,4852.508,4652.694,4790.104,2557.288,2229.489,2776.931,2878.910,3501.389,2763.117,2397.100,2652.285,1910.386,2107.829,1976.044,2460.330,1727.294,1593.519,1176.861,2036.388,1508.290,1676.483,1471.189,1626.384,1670.103,1312.886,1498.622,1605.676,1335.676,913.206,1153.785,1092.336,1054.587,1211.698,1023.200,822.290,1157.823,1042.038,788.453,1110.663,763.625,905.545,882.553,905.456,729.675,904.094,762.983,986.871,746.208,869.214,820.382,704.719,589.900,532.203,616.222,634.708,662.210,787.231,573.955,529.038,627.027,531.892,591.477,690.115,556.698,421.886,562.028,538.845,531.892,441.720,479.297,522.469,516.050,458.975,687.373,507.658,428.518,525.422,592.960,647.109,730.279,650.937,632.914,457.925,536.064,547.644,610.501,504.575,692.156,712.017,855.955,1140.743,1205.397,1271.897,1340.497,1343.666,1183.968,1147.048,957.460,685.166,648.575,543.708,460.565,389.670,374.615,275.298,377.197,344.994,331.919,315.578,320.037,294.013,356.676,238.667,305.793,309.766,333.114,298.325,244.889,256.449,300.632,300.433,298.674,298.921,273.111,361.111,284.077,262.765,303.619,285.590,247.839,278.321,338.453,247.159,259.642,302.570,
212,115554.314,109685.333,101686.426,133601.575,173015.087,170537.137,150224.385,120107.666,69591.753,44016.559,26130.711,12465.809,8782.265,8269.010,7588.779,6669.199,6434.804,3677.477,3610.556,4050.283,2785.942,2763.908,3060.308,2291.236,2190.227,2686.126,2066.155,2621.820,1428.503,1758.179,1773.281,1698.926,1498.036,2180.189,1507.101,1546.061,1632.806,1501.305,1416.853,1147.384,1567.642,1406.248,1519.623,1458.463,1372.256,968.619,1097.943,1174.682,1222.408,1137.215,1388.348,1098.874,651.981,1057.416,1082.140,1136.504,1119.052,1021.302,1016.248,822.802,996.500,855.848,907.314,796.798,859.168,918.525,727.517,624.647,816.779,555.345,641.780,552.574,630.151,595.458,542.238,609.205,459.032,575.623,669.316,501.683,594.812,537.101,535.134,650.965,479.221,404.395,497.225,509.131,554.220,546.311,464.524,497.691,602.639,639.046,728.893,658.214,665.674,456.931,516.019,674.925,565.157,526.307,379.660,613.761,632.574,735.522,936.143,946.912,1241.465,1331.499,1412.541,1464.985,1518.184,1314.580,1309.715,1073.706,892.715,706.817,462.088,420.482,352.745,338.901,325.515,328.256,315.872,349.515,264.065,337.194,313.269,339.663,261.078,292.941,224.132,255.108,294.962,328.569,324.196,303.989,323.848,302.984,264.350,323.688,239.242,345.916,268.610,303.798,333.991,276.439,329.411,289.677,319.768,
214,95280.199,74532.741,80025.310,114554.133,133948.621,181390.536,178038.490,169479.290,136156.328,95490.614,51875.965,15363.722,9682.682,7748.664,8924.182,4912.611,5352.776,4578.503,4977.124,3107.524,3557.680,3435.745,2506.582,1716.511,2591.244,1940.741,2659.740,2058.833,2026.176,2300.988,1986.310,2110.672,2390.347,1976.348,2037.444,1871.550,1639.452,1300.312,2083.834,1902.746,1682.027,1372.778,1236.152,1227.498,1499.263,1632.738,1175.389,1249.822,1143.421,1092.553,1474.366,1165.851,1007.309,886.437,839.273,924.206,808.141,867.835,992.778,1094.445,1059.646,846.941,750.236,737.538,566.874,660.852,687.693,674.434,684.999,692.726,620.465,748.061,643.103,694.821,523.054,575.530,661.646,520.400,530.527,472.972,633.129,457.888,529.376,562.096,608.034,639.916,518.676,501.437,528.975,362.276,445.605,435.424,422.825,622.089,649.353,619.396,546.911,656.002,558.489,755.939,629.516,604.954,604.505,545.012,538.704,500.642,505.958,665.862,899.163,1054.488,1348.565,1443.316,1611.186,1759.516,1765.454,1604.219,1439.957,1115.635,896.818,659.442,632.427,421.962,371.744,336.926,349.366,353.767,320.480,289.457,363.796,316.332,292.245,234.067,269.310,278.682,292.619,316.934,263.823,294.115,272.164,285.376,229.999,280.208,292.020,294.026,271.231,348.127,294.454,295.143,230.928,383.171,349.895,
216,87824.010,81418.665,73876.571,96840.144,112293.277,170197.626,202651.486,202288.471,183750.266,158312.845,98095.467,40393.139,17980.615,14109.216,8146.504,7260.042,4797.817,7378.995,5795.687,4274.456,3817.823,3447.073,2722.052,2304.911,3185.293,2561.391,1877.951,2298.582,2184.000,1632.866,1892.246,2028.103,2376.124,1549.528,1967.602,1104.353,1538.656,1522.692,1375.573,1910.221,1429.692,1561.175,1173.752,1495.912,1135.067,1577.572,1147.174,1381.236,888.567,1033.067,1062.397,1295.876,908.383,1006.835,915.145,782.551,1062.713,850.557,1052.560,841.098,959.078,863.039,826.253,725.739,768.583,592.025,803.175,662.701,622.583,754.074,516.251,688.384,435.535,523.423,454.165,665.176,571.039,585.691,499.240,388.121,517.589,550.691,593.569,539.207,624.757,531.126,497.781,510.637,609.822,604.209,429.273,467.621,453.874,535.521,485.899,624.927,554.797,588.712,644.546,656.491,743.598,649.577,697.508,665.679,510.611,663.718,418.941,550.417,553.289,612.241,915.285,1133.037,1469.710,1721.983,1852.325,1909.795,1819.898,1879.582,1583.657,1394.849,1007.299,762.616,605.125,484.866,385.484,351.328,317.762,301.420,343.979,263.821,346.490,270.107,224.094,207.193,259.088,274.807,285.431,292.806,202.686,274.425,296.734,310.916,272.758,294.507,291.359,302.691,288.331,367.179,344.550,278.167,328.069,
