"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.19"
"[Data Information]"
"Data is:","Modified"
"Sample Name:","SampleName179"
"Sample ID:","SampleIDe179"
"Option:","Option179"
"Analyst:","dp"
"Date/Time:","06/24/2026 02:53:54 PM"
"Comments:","pp pellets filtered microwave for 5 minutes 6_24_26"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40246002360SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","200.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","2.0 nm"
"EM Wavelength Start:","200.0 nm"
"EM Wavelength End:","500.0 nm"
"Data Interval:","2.0 nm"
"Scan Speed:","6000 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"AutoFile_20260624_144249 - CorrectionData"
"EM Wavelength/EX Wavelength",200,202,204,206,208,210,212,214,216,218,220,222,224,226,228,230,232,234,236,238,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450,452,454,456,458,460,462,464,466,468,470,472,474,476,478,480,482,484,486,488,490,492,494,496,498,500,
200,109032.807,84005.839,67107.269,72229.366,37126.136,33063.283,27464.819,25290.497,27948.622,23087.134,14461.722,12430.094,8257.747,5875.813,9285.145,5223.446,4856.251,4194.190,2638.540,4010.724,2717.075,3674.891,2966.906,2840.648,1186.387,2528.933,2112.171,1862.670,2306.626,1643.450,1709.834,1781.993,2325.119,1920.629,1423.233,1495.934,1890.814,1430.907,1121.041,1210.913,1357.957,852.589,1075.433,1237.053,913.119,1265.300,1119.251,1169.142,1180.725,830.959,1031.409,813.732,986.249,1065.246,785.607,1049.754,809.871,849.019,907.063,815.352,838.934,605.048,925.233,945.179,709.440,490.903,684.571,569.549,659.433,527.749,542.117,371.802,670.662,655.871,466.132,512.556,655.722,528.227,520.303,524.921,486.998,515.694,406.472,439.433,508.921,384.432,560.914,513.447,527.136,390.364,586.030,516.223,520.883,494.815,612.582,599.202,661.995,653.708,671.362,784.852,712.351,726.288,641.552,551.535,607.383,536.105,492.683,359.819,456.694,384.881,339.779,205.921,402.801,297.438,291.573,342.120,346.149,215.988,301.611,289.808,334.018,280.957,296.695,273.839,293.683,297.122,350.634,306.508,258.839,239.622,260.141,280.243,229.038,232.367,219.342,221.517,222.607,255.589,263.114,186.546,241.997,219.688,245.474,270.843,237.170,242.297,242.230,289.076,268.376,334.775,333.747,
202,106344.093,121101.956,89787.650,70911.459,50734.571,48241.919,32511.598,21833.909,25229.256,22446.805,17359.009,14382.878,13346.288,10578.423,5628.654,7044.062,5882.757,4556.388,4055.156,4152.167,2784.946,3016.774,3114.275,3179.406,2173.020,2777.902,1435.124,1934.661,1730.098,2190.825,1721.520,2108.419,1910.472,1703.921,1408.423,1721.350,1019.560,1843.771,1545.088,1129.737,777.571,1475.556,1182.561,1540.808,1413.253,1125.561,1186.847,969.511,1003.344,905.270,1200.096,925.031,869.003,887.479,873.791,896.670,961.179,770.222,1059.593,961.490,701.620,664.584,900.085,897.392,616.347,876.641,733.357,681.958,753.111,749.605,685.212,721.462,639.154,604.279,625.996,549.194,457.752,520.103,517.742,560.157,468.339,537.584,443.089,477.936,508.357,566.804,443.411,426.851,523.358,501.549,493.981,465.869,528.998,545.434,466.957,557.120,735.526,689.741,706.395,790.446,727.471,971.983,861.429,782.006,685.383,653.739,565.822,490.405,501.465,467.062,328.160,342.438,357.551,314.299,379.741,317.677,299.796,354.611,305.800,363.501,286.589,288.477,280.762,297.311,345.929,275.291,292.431,261.813,323.150,270.744,241.573,349.482,289.086,234.620,199.599,216.504,251.397,275.768,231.737,280.513,352.586,277.101,224.240,220.706,257.377,196.842,305.536,290.096,228.450,296.335,291.041,
204,140709.391,146833.912,141011.053,86267.155,54279.304,49581.341,45869.111,16856.019,24495.176,14054.221,17461.924,11048.673,9569.600,11325.874,7713.262,5905.523,4970.850,5133.471,4639.727,3537.759,3236.491,2825.682,3378.052,1680.212,2632.397,1222.146,2023.540,2216.351,1555.052,2063.445,1937.611,2047.274,1383.884,1672.890,1423.956,1390.631,1417.251,1321.122,1184.384,1142.987,1264.632,1579.006,795.775,1407.133,1470.850,897.027,1241.162,1143.480,1143.780,1106.932,1222.736,1019.009,1017.318,974.908,919.925,482.389,1032.696,883.397,925.840,1017.348,842.661,627.955,712.714,731.858,640.502,674.765,771.017,687.541,758.883,638.719,542.135,452.103,444.911,469.221,528.815,562.223,448.627,399.905,543.727,505.390,616.950,543.606,606.122,546.479,418.048,506.960,418.267,522.628,461.897,558.161,473.101,458.683,537.601,535.195,594.659,697.929,562.900,564.073,607.377,637.377,904.272,950.151,937.286,892.399,899.141,918.783,728.597,581.918,614.092,543.694,413.017,424.441,432.898,411.047,282.348,316.685,346.077,248.560,305.784,352.269,372.883,294.670,345.435,315.174,311.679,247.907,235.440,298.680,262.942,306.288,265.075,334.317,223.478,256.606,265.542,315.161,230.269,286.689,302.578,335.680,230.970,245.113,279.099,269.912,211.970,258.356,236.458,270.363,265.670,238.550,243.537,
206,125781.693,146248.640,126207.875,131550.286,119085.585,74513.782,41715.741,26328.487,21487.989,22848.980,18521.192,12272.808,9232.316,6325.562,9558.236,5939.254,5411.223,5620.489,4162.748,4114.053,4052.202,3048.898,2646.665,2374.192,2274.241,1988.220,2488.731,2439.864,3081.435,1994.145,1881.815,1947.256,1206.483,1378.818,1617.505,1986.521,1636.860,1555.826,1425.205,1494.289,1322.497,1188.133,1105.791,1096.646,1144.241,1340.084,1091.437,1282.056,998.329,1185.965,950.138,1040.515,662.094,883.143,776.765,745.418,1021.556,959.940,531.437,661.868,769.342,694.276,689.370,823.415,652.224,678.613,749.887,762.469,404.393,592.487,539.787,585.407,440.661,396.265,554.689,495.367,500.753,529.936,454.154,439.751,625.851,535.882,634.257,481.378,440.766,472.202,531.178,477.711,557.299,506.760,500.875,531.200,542.577,527.540,434.479,474.767,585.915,429.069,473.493,606.071,809.347,744.637,880.627,954.183,1079.672,1077.404,984.643,990.961,891.505,777.697,644.803,514.239,455.721,442.646,430.246,318.033,247.551,275.143,258.909,375.197,307.952,333.350,237.906,273.852,328.882,277.165,336.497,342.713,286.563,304.732,326.859,318.650,299.342,236.554,272.022,231.161,283.144,242.876,312.982,283.324,225.319,321.144,273.363,336.676,251.587,278.193,260.146,202.978,344.517,384.533,261.848,
208,112319.961,132703.476,133051.549,143411.951,138869.025,103174.611,67641.475,42432.342,31935.558,18495.141,16266.281,11857.470,10083.032,11552.286,9058.217,6323.252,4056.548,3521.521,3988.296,3139.439,3267.196,2843.415,2893.100,2772.215,1913.861,2252.465,2138.248,2984.158,1587.132,1914.914,2126.482,1617.756,2495.445,1801.679,1935.070,1705.137,1507.305,1550.076,1417.330,1020.634,1376.713,1013.625,1661.295,919.200,842.231,1357.408,1085.912,1147.239,1160.064,1171.969,1127.391,892.910,851.132,879.545,839.560,985.434,938.586,778.580,797.506,644.417,667.087,818.710,665.076,807.074,740.568,434.951,450.674,643.331,708.795,693.174,639.841,529.798,537.324,576.690,515.147,600.758,495.004,512.301,457.834,540.378,591.874,552.940,532.946,477.977,510.759,585.788,543.760,471.067,463.438,570.849,533.515,498.420,537.643,596.505,589.882,633.009,577.141,503.382,504.335,458.845,520.681,717.061,689.488,1009.702,959.153,1079.444,1231.117,1303.105,1292.125,1133.808,971.339,802.008,731.115,506.087,488.468,407.451,364.703,251.768,362.281,267.105,294.238,364.088,321.184,333.840,257.880,321.690,254.374,347.729,297.516,291.106,277.138,270.330,246.252,247.599,182.145,246.460,268.674,241.321,269.187,247.515,264.345,295.286,278.335,313.323,298.365,274.670,243.996,211.518,275.976,336.228,291.325,
210,91575.205,112079.991,118702.235,175897.220,145883.102,139981.785,114911.706,85059.629,43643.601,26156.399,21970.957,11819.328,12800.942,7267.156,8583.825,5675.592,5421.796,3738.937,2423.467,4586.937,3707.977,3005.024,2510.925,1869.849,2220.957,2422.106,2282.752,2419.565,2084.308,2339.092,1701.212,1300.699,1791.141,1794.969,1699.999,2076.699,1433.135,1533.857,1390.389,1054.213,972.051,1496.885,1249.197,1164.138,1280.106,1271.749,1413.978,991.723,1076.209,906.844,988.535,1055.468,964.970,869.401,959.116,1049.701,806.421,619.525,761.312,799.186,786.935,661.028,607.364,629.781,479.866,625.376,809.587,511.692,628.200,688.832,597.103,631.661,689.856,564.996,479.643,560.273,582.110,509.750,597.709,722.165,440.910,429.356,449.024,481.150,471.514,305.398,480.038,553.944,449.829,509.843,635.993,509.692,466.497,633.431,474.197,581.075,703.819,593.358,546.181,427.882,486.495,528.453,633.128,725.486,815.403,959.254,1081.413,1514.206,1374.621,1371.442,1323.556,1176.731,1100.759,898.439,792.164,623.462,662.903,388.349,337.761,228.945,265.285,282.166,265.552,231.366,322.802,271.317,354.559,302.309,314.464,325.868,213.013,274.943,295.772,221.981,232.132,224.856,308.543,299.017,250.914,267.502,298.185,314.442,223.061,293.658,266.566,209.021,263.998,252.916,258.442,266.522,315.870,
212,84518.814,90777.983,107202.369,148644.364,160413.655,172517.981,153423.431,115448.105,77997.650,39583.365,23568.305,13705.390,7644.159,8930.994,7194.802,4817.835,6724.320,6351.605,4758.949,3155.169,2695.818,2843.198,2424.197,2496.986,2440.085,2456.040,2048.173,2106.824,2004.542,2219.712,1646.067,1835.817,2077.780,1584.931,1859.685,1282.471,1673.227,1608.858,1686.886,1267.894,1351.012,1348.588,1280.331,1376.606,1548.679,1292.934,952.914,936.988,888.383,1036.148,1128.247,775.892,608.641,1020.974,679.779,807.252,1044.213,779.219,720.279,521.217,680.232,661.322,655.474,598.141,528.313,718.640,846.961,652.003,831.241,739.821,605.747,619.181,701.136,499.720,632.505,551.241,513.683,505.480,623.414,553.988,561.093,485.102,507.688,440.085,513.662,500.031,480.611,537.853,486.558,411.994,573.352,459.057,490.458,657.933,583.279,603.838,655.260,687.689,619.816,483.239,622.135,458.602,490.269,394.953,623.353,725.915,911.437,1186.966,1160.067,1401.167,1541.362,1491.679,1499.393,1404.900,1288.010,1027.290,782.473,720.763,540.099,420.978,292.928,335.711,276.206,299.608,311.087,337.369,332.270,301.876,275.475,242.828,368.703,300.644,242.025,229.832,248.868,248.062,219.411,257.102,237.883,226.540,258.865,271.843,269.565,289.493,245.660,284.110,245.851,293.085,315.144,277.856,330.316,
214,106942.573,95436.427,96989.495,117683.125,139656.688,189663.435,186914.355,164632.370,120836.029,82349.987,45362.207,20637.344,11808.407,9177.946,6550.056,6872.908,6178.211,5428.087,3067.516,3002.343,3827.413,3696.395,2234.320,1405.667,2730.121,2745.496,1943.600,2507.565,2022.330,2622.995,1419.437,2147.139,1800.270,1214.801,1408.471,1179.062,959.352,1661.296,928.753,1095.634,1272.309,1295.744,1112.606,1200.272,1400.433,1144.571,1086.276,1110.468,1065.313,1097.518,973.742,1237.995,932.717,1052.441,726.037,823.426,1024.568,922.360,600.991,732.130,872.392,581.920,754.821,772.171,712.956,596.018,815.587,858.541,676.599,600.395,695.066,571.001,506.708,503.808,561.996,551.653,473.475,469.265,508.025,518.430,466.143,588.718,510.856,564.797,380.678,445.364,358.602,474.489,562.596,596.827,570.246,622.930,564.496,470.793,712.426,552.160,571.672,606.914,574.030,684.513,628.357,642.139,497.532,422.139,528.077,446.306,506.048,786.373,891.672,1215.786,1315.435,1371.649,1580.633,1591.889,1762.732,1603.032,1484.950,1287.380,996.939,823.487,598.384,333.314,338.898,302.934,248.846,274.464,245.400,219.626,276.711,327.734,282.696,238.295,241.076,292.067,247.730,283.017,248.919,292.833,240.553,289.840,239.136,234.186,226.765,258.187,254.970,199.746,244.149,291.826,309.110,193.983,266.710,
216,105634.719,87551.883,71801.917,86664.789,116410.587,149196.233,187104.305,193177.700,174520.437,139119.741,73209.821,41837.839,15639.456,12289.543,6538.914,6494.730,5253.320,5167.326,4528.090,3018.297,3949.075,3641.846,2896.167,3316.001,2398.920,2743.698,1797.896,2368.593,2400.043,2113.671,2171.858,2001.769,1924.855,1654.219,1943.830,1712.018,1485.104,1630.446,1567.810,1748.877,1702.896,1104.347,1094.027,688.146,1180.844,1327.248,1120.377,839.656,1118.578,1036.034,965.210,1278.377,865.556,777.824,773.092,1078.412,1036.056,1115.885,906.706,996.727,878.369,731.096,696.751,672.980,615.841,792.736,669.301,779.327,606.938,582.334,632.700,648.257,561.658,385.427,605.555,534.728,622.251,631.912,460.435,464.792,570.504,554.458,561.142,482.827,467.611,500.151,485.367,565.510,326.560,436.704,558.583,432.228,452.198,496.115,497.966,685.140,508.198,615.111,621.759,628.638,536.769,584.086,667.298,612.358,466.496,493.296,483.336,550.393,592.958,823.297,1032.766,1100.466,1477.236,1686.804,1743.556,1964.806,1894.034,1808.183,1680.426,1233.516,1053.668,889.944,577.406,464.690,346.168,345.158,289.667,306.490,296.375,320.157,303.617,226.934,267.886,313.916,297.591,221.728,269.280,279.184,265.581,260.324,213.486,253.620,269.321,290.568,253.340,273.557,269.505,307.711,312.252,382.383,389.449,
