"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.19"
"[Data Information]"
"Data is:","Modified"
"Sample Name:","SampleName177"
"Sample ID:","SampleIDe177"
"Option:","Option177"
"Analyst:","dp"
"Date/Time:","06/24/2026 11:41:50 AM"
"Comments:","pp pellets filtered microwave 5 minutes sample 6_24_26"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40246002360SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","200.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","2.0 nm"
"EM Wavelength Start:","200.0 nm"
"EM Wavelength End:","500.0 nm"
"Data Interval:","2.0 nm"
"Scan Speed:","6000 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"AutoFile_20260624_113125 - CorrectionData"
"EM Wavelength/EX Wavelength",200,202,204,206,208,210,212,214,216,218,220,222,224,226,228,230,232,234,236,238,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450,452,454,456,458,460,462,464,466,468,470,472,474,476,478,480,482,484,486,488,490,492,494,496,498,500,
200,159542.819,129766.169,93509.091,79698.239,60049.661,40633.212,43595.635,41338.177,27042.043,30556.600,18339.522,13863.972,16097.966,9308.256,10672.312,6955.563,6305.946,6164.139,4735.255,4813.797,5807.964,4719.104,4101.859,4863.201,3734.259,3608.221,2259.807,2765.378,2837.340,2454.434,2864.310,2548.117,2195.285,2230.347,2208.380,2314.425,2105.051,1846.243,1982.490,1994.697,1866.694,2231.899,2131.389,1117.332,1267.859,1339.126,1617.324,1767.328,1774.944,1754.697,1279.958,1431.525,1269.564,1366.813,1046.046,1131.160,1249.164,989.665,990.551,1072.659,838.689,993.066,1035.849,1028.784,1100.090,1033.010,1011.952,836.537,849.883,816.039,743.342,954.534,730.840,1014.185,607.920,657.868,594.144,630.319,862.992,760.289,775.176,802.193,802.072,720.635,806.093,708.193,661.665,767.904,706.200,548.023,722.077,589.498,780.705,727.732,977.924,869.562,961.959,1075.579,1113.147,1262.653,1296.625,1092.333,1108.869,916.270,929.330,705.250,561.597,633.421,519.448,564.412,417.051,455.091,438.713,470.400,379.438,422.385,441.500,341.482,446.284,405.120,390.549,403.082,435.601,318.031,387.167,430.099,336.165,325.365,409.025,370.224,330.071,319.396,305.385,329.698,331.047,310.570,300.490,324.574,329.810,354.592,341.962,322.453,402.887,259.233,347.518,404.296,376.842,343.043,312.686,340.129,358.201,
202,204707.988,172289.714,146335.202,114604.980,73811.191,51568.297,48706.054,35222.204,34028.890,29223.821,23864.335,15131.301,15829.270,9621.247,9282.534,6422.324,7971.388,8395.090,5362.166,3874.068,4592.956,5267.296,4825.847,3649.360,3774.705,3592.576,3418.387,2828.498,3126.965,3175.877,2799.580,2270.607,2594.000,2801.233,2175.962,1648.912,2300.383,2688.684,2240.258,2087.098,2121.941,1865.835,1779.968,1921.284,1432.850,1739.013,1684.372,1707.032,1578.371,1387.660,1398.582,1465.453,1134.397,1649.184,1125.343,1285.519,1084.996,1203.090,1128.919,1110.435,976.070,906.829,835.778,904.835,1021.614,1074.603,886.637,889.109,826.348,805.213,738.071,827.890,793.018,815.004,765.398,819.323,654.210,783.981,792.555,811.252,765.895,771.801,823.821,831.537,730.435,689.816,603.275,719.709,702.766,582.168,671.492,778.954,653.184,827.094,790.711,817.871,895.981,943.167,1319.621,1272.517,1351.014,1453.989,1273.442,1204.825,1113.512,972.050,870.560,640.859,628.245,608.716,410.418,427.056,413.061,500.105,511.065,350.918,469.648,431.370,420.446,380.295,442.812,353.384,436.406,384.980,316.786,371.336,368.353,428.128,393.667,292.537,347.120,373.544,352.520,334.814,375.974,333.632,315.387,312.483,266.971,357.233,324.342,377.793,338.992,361.062,344.000,354.892,335.540,458.065,351.887,362.894,381.944,
204,175574.675,189841.145,169412.525,144610.276,116706.677,66446.957,52048.975,49423.951,36477.693,27153.660,23504.033,16264.371,19070.514,12118.155,10677.806,8785.501,7710.200,5862.985,5401.904,5436.199,5332.825,4685.552,5175.897,2601.062,3798.280,3309.133,3344.274,2832.306,2679.953,2098.094,2053.364,2150.797,2335.225,2425.844,2202.768,2463.794,2560.650,2006.782,1962.789,2298.740,2303.140,1638.009,2152.592,2034.094,1656.102,1915.797,1663.377,1348.156,1429.005,1204.903,1628.546,1281.951,1648.020,1140.316,1239.421,1206.101,1378.070,1161.668,1151.283,1211.324,959.130,989.254,999.271,1000.804,696.270,893.597,1004.200,878.222,701.984,875.350,917.300,735.053,740.204,924.426,681.225,699.788,733.271,769.009,803.116,791.937,786.942,838.686,877.285,816.473,668.022,589.899,648.662,658.730,704.735,609.859,618.053,704.254,567.975,731.869,782.302,806.918,697.948,899.975,1029.398,1107.230,1321.852,1345.489,1517.503,1620.917,1537.262,1432.299,1398.605,1127.292,882.691,869.992,605.208,598.173,474.015,421.866,540.671,481.191,388.131,398.704,438.034,382.503,375.457,366.111,426.004,352.822,385.449,344.860,429.686,320.083,399.985,385.764,289.656,385.049,371.804,301.647,290.039,293.164,326.604,326.705,349.044,315.367,327.927,332.683,375.571,339.123,290.083,381.168,401.676,295.304,339.289,313.762,397.487,
206,178367.614,169756.162,188907.520,182457.533,154504.952,123894.696,75493.808,50432.979,31869.049,26834.725,20211.539,19913.882,14153.616,12485.566,8600.103,8712.096,6452.930,6111.139,6492.038,6287.630,6804.911,4498.561,4425.848,3581.857,3706.266,3219.466,3136.738,3520.475,2660.794,2657.598,2083.720,2852.164,2391.241,2707.269,2148.837,2526.255,1707.897,2153.742,2026.748,2130.222,2093.454,1974.070,1808.956,1699.901,1660.701,1518.298,1881.865,1466.876,1557.128,1528.072,1780.659,1283.337,1399.522,1168.384,1212.120,1176.470,1277.382,1265.382,1126.188,1051.598,929.599,1005.360,940.629,1065.414,978.162,837.230,983.182,968.575,861.281,956.964,920.418,649.673,831.916,541.174,710.504,939.118,882.286,993.209,675.381,732.390,809.563,776.908,893.230,690.747,737.566,702.524,791.669,780.223,595.535,684.912,802.070,587.110,714.927,750.122,582.020,759.540,743.556,749.854,922.003,826.684,1013.922,1232.272,1498.209,1714.655,1773.468,1673.833,1729.535,1634.930,1418.609,1281.211,1010.366,765.162,662.777,468.057,529.452,509.758,326.789,483.015,429.309,323.929,370.893,330.209,335.873,353.461,443.330,351.153,380.480,358.260,351.231,418.549,303.557,365.480,348.996,330.034,367.171,351.464,383.061,347.304,317.502,305.854,339.405,315.733,374.806,294.089,326.551,356.733,310.318,370.541,373.400,391.447,386.077,
208,157329.011,183927.976,204862.712,229957.821,218935.224,167852.549,100251.888,81590.578,37685.788,24987.915,15283.192,21617.017,12567.223,12211.999,12128.813,9757.658,6410.260,6645.942,6348.392,6654.151,4038.807,4199.009,4884.377,4864.735,3637.898,3454.972,2710.650,3074.672,3000.805,2209.862,2688.560,2737.054,2393.370,2748.945,2359.020,2194.718,2389.512,1731.507,2176.654,2006.024,2129.988,2066.479,1971.079,1945.572,1686.279,1832.825,1749.793,1716.951,1379.122,1573.455,1852.530,1209.894,879.639,1360.488,1121.260,1209.648,1269.869,1004.874,1379.782,961.112,849.411,1051.927,1070.787,1066.992,1139.808,817.720,932.131,1064.818,770.948,947.434,818.873,930.720,843.764,742.501,930.882,781.109,763.239,767.644,727.232,851.104,748.784,683.701,739.391,610.108,702.941,799.650,713.370,679.228,711.793,752.962,774.587,607.786,788.200,760.393,764.659,768.245,765.681,641.292,658.275,729.023,768.727,955.587,1148.638,1443.784,1455.841,1941.756,2155.383,1898.706,2029.392,1967.553,1722.981,1379.879,1097.504,924.956,678.212,591.444,578.509,483.154,359.527,435.856,405.710,450.112,333.748,355.383,423.941,470.963,439.851,495.445,369.580,370.876,361.320,365.972,278.777,314.945,242.920,259.945,250.176,298.678,386.421,351.144,369.529,438.236,374.612,371.090,340.184,393.718,353.611,321.015,353.611,365.401,364.480,
210,122555.991,143214.075,205016.040,231866.697,269429.287,263230.175,184715.529,134347.691,53836.729,47659.024,25866.671,18881.369,13888.187,14225.732,10383.975,7062.266,7149.815,5406.239,6821.703,6028.089,4438.017,4703.978,4700.707,4186.278,3184.920,3294.967,3424.019,2832.594,3327.089,2424.348,2892.861,2160.323,2657.436,2958.332,2434.115,2221.504,2240.478,2658.300,2632.633,2191.462,2531.332,1707.340,2087.457,1895.233,1995.112,1820.871,1598.820,1632.985,1721.079,1506.475,1210.802,1513.158,1354.158,1412.290,1107.163,930.159,1103.830,1145.297,1287.280,938.586,1151.244,985.200,910.855,831.639,1044.405,1057.165,719.306,867.218,835.987,838.711,706.401,921.740,893.904,740.500,790.916,748.092,671.176,762.363,636.848,857.974,760.655,637.250,792.536,783.396,714.832,745.314,686.930,706.327,660.921,655.273,722.076,679.442,623.718,811.556,741.116,695.139,853.984,671.084,646.746,716.834,653.831,720.977,764.376,992.703,1326.343,1575.822,1900.477,2130.805,2222.911,2373.206,2153.159,2158.290,1944.194,1510.588,1254.438,930.885,784.090,561.885,422.115,435.360,410.538,388.665,413.078,447.298,356.936,351.090,385.160,367.290,333.122,387.902,377.267,364.560,273.610,325.605,313.905,346.655,304.675,314.617,402.710,359.164,354.079,319.489,400.163,320.666,310.876,280.070,328.525,314.967,337.111,419.360,393.531,
212,123463.669,147331.067,170749.655,220134.516,296401.673,279256.639,240998.879,214431.672,119071.690,77629.102,36274.082,19605.001,16188.672,12769.438,10131.984,8098.217,8317.789,6492.408,5541.295,3869.918,4606.501,5874.508,4261.318,4092.576,3585.995,3303.432,3877.502,3020.698,3011.940,3277.897,2709.308,2290.444,3140.319,1934.122,2096.739,2665.833,2037.522,2345.697,2167.972,2333.847,1845.561,1613.873,1963.160,1896.852,1697.764,1817.152,2191.465,1238.673,1735.425,1797.512,1434.065,1311.050,1079.534,1173.355,1195.757,1384.598,931.579,1117.628,836.382,1146.371,1102.065,951.126,1068.273,982.650,932.195,1033.025,872.347,809.426,787.089,856.813,829.850,707.503,873.663,933.143,770.616,796.404,821.432,748.564,683.312,785.644,801.451,724.429,711.551,875.839,731.936,727.139,783.522,701.677,621.115,724.314,584.939,794.527,645.932,946.703,769.848,702.131,720.879,838.226,825.901,717.191,729.332,712.228,594.777,818.411,804.996,1073.321,1386.253,1660.798,2093.649,2397.032,2592.514,2721.370,2701.471,2509.089,2015.956,1645.532,1406.892,1064.972,717.330,597.762,508.617,420.586,539.628,419.045,339.118,438.702,364.500,395.982,405.613,402.748,316.943,364.450,252.141,233.047,386.370,314.311,294.106,353.612,381.842,318.978,373.561,347.974,390.120,327.021,404.651,272.000,360.346,401.314,425.306,402.239,354.985,
214,114118.800,114392.243,113915.662,171351.484,237307.860,300586.148,320656.219,295247.775,210762.524,144220.945,73632.425,36312.511,16638.490,13838.149,9295.980,9372.366,7448.206,5737.447,5443.780,5473.175,5704.334,4307.093,4685.954,4181.986,3118.682,2381.828,3863.112,2633.034,2777.660,2464.203,2951.162,3372.505,2030.494,2373.012,2141.024,2118.704,2391.115,1915.556,1948.380,1570.277,2053.650,1819.282,1912.860,2026.476,1798.986,1826.955,1657.287,1466.186,1347.489,1371.264,1698.427,1112.770,1201.592,1297.807,1308.735,1288.900,1184.349,1376.028,1230.128,1094.777,1071.373,1179.208,1031.160,1142.207,805.712,788.620,989.678,878.329,774.774,988.239,839.714,785.420,798.667,634.698,752.531,908.336,777.581,768.969,812.624,768.210,827.976,878.304,774.434,660.299,709.312,542.584,684.674,674.283,670.427,578.384,595.651,696.670,625.121,678.314,556.703,846.930,705.773,872.297,931.233,694.439,778.957,738.248,678.982,552.896,602.384,645.023,916.103,1140.707,1386.477,1768.749,2295.151,2690.170,2734.796,2777.889,2790.975,2547.900,2474.300,1918.938,1626.490,1117.334,910.367,615.488,550.125,404.757,355.833,353.650,406.473,426.039,459.450,401.535,326.533,385.881,338.109,335.408,317.279,325.529,316.260,398.673,351.081,337.063,311.400,328.889,359.793,294.212,342.841,390.576,360.321,445.542,421.962,345.850,397.576,
216,109734.316,112498.937,100079.352,115678.715,163548.916,263642.034,325696.070,349936.202,305409.175,240293.362,139405.873,75422.596,34494.376,15930.090,12756.082,8553.680,7621.647,5803.488,6280.051,5426.696,6945.576,4400.600,3845.829,3440.898,3080.192,2783.527,3157.151,2764.371,2568.551,2696.824,2278.576,2717.701,2509.083,2266.049,1939.824,2076.694,1793.326,1811.937,2114.578,1493.703,2236.807,1973.859,1871.982,1997.476,1648.108,1536.954,1684.328,1289.296,1692.056,1388.232,1780.465,1133.380,1470.170,1195.772,1284.675,1243.808,1096.327,1436.333,1080.837,1425.258,862.609,1194.873,920.954,1039.470,1025.824,903.562,971.798,843.956,854.793,856.740,814.885,967.363,817.687,722.011,886.275,925.166,829.721,817.543,830.439,726.710,715.611,793.466,923.764,669.722,703.694,788.518,708.314,680.032,635.316,664.351,680.672,592.353,679.123,639.416,661.317,707.750,671.654,686.384,973.040,916.269,734.191,796.335,807.396,673.291,702.343,589.796,628.380,599.022,874.637,1154.168,1646.347,2047.932,2460.967,2876.482,3177.805,3481.268,3157.153,3147.850,2794.386,2333.337,1751.733,1346.981,952.298,724.550,463.925,395.314,399.814,363.450,422.583,347.004,344.036,368.357,321.513,392.950,349.464,317.365,333.976,340.325,356.911,338.500,290.364,267.394,415.160,300.684,318.004,349.838,366.328,330.829,403.006,420.179,359.028,
