"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.19"
"[Data Information]"
"Data is:","Modified"
"Sample Name:","SampleName178"
"Sample ID:","SampleIDe178"
"Option:","Option178"
"Analyst:","dp"
"Date/Time:","06/24/2026 12:00:46 PM"
"Comments:","pp pellets filtered+microwave half dilution 6_24_26"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40246002360SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","200.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","2.0 nm"
"EM Wavelength Start:","200.0 nm"
"EM Wavelength End:","500.0 nm"
"Data Interval:","2.0 nm"
"Scan Speed:","6000 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"AutoFile_20260624_115008 - CorrectionData"
"EM Wavelength/EX Wavelength",200,202,204,206,208,210,212,214,216,218,220,222,224,226,228,230,232,234,236,238,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450,452,454,456,458,460,462,464,466,468,470,472,474,476,478,480,482,484,486,488,490,492,494,496,498,500,
200,143180.413,105089.797,112684.830,67698.966,50203.371,54247.227,37312.246,41364.386,23746.608,25026.419,17323.100,18786.356,17862.097,11789.601,9026.031,7989.787,8024.490,6344.512,6536.677,4997.629,4159.599,4916.356,3954.648,4781.792,3778.362,3438.574,3132.196,3681.301,3110.123,3379.590,2440.435,3004.610,2595.836,2397.202,2182.146,2403.114,2379.196,2027.386,2141.053,2123.728,1979.467,1857.746,1794.853,2165.001,1909.260,1914.895,1957.265,1582.081,1315.966,1390.976,1287.183,1244.226,1321.034,1328.150,1426.059,1313.240,1311.683,1226.403,1048.922,1247.544,1114.958,1068.717,1151.445,796.546,892.396,839.274,933.649,905.756,860.406,898.899,967.176,854.082,778.271,810.170,730.456,846.175,662.918,823.061,646.252,605.658,633.234,770.483,724.140,618.176,604.877,726.935,630.990,636.719,676.395,610.367,579.111,758.609,688.528,675.020,774.462,885.431,814.961,1020.087,1106.885,1075.928,1118.668,1110.729,884.847,925.305,723.815,589.346,584.033,577.327,516.158,433.558,441.727,457.988,456.145,414.505,397.496,400.044,414.980,390.622,424.849,388.012,399.166,436.794,428.480,425.652,335.725,338.047,421.841,369.301,454.063,389.378,393.368,246.972,331.901,286.140,302.358,338.341,408.300,371.669,356.139,381.669,359.709,431.555,393.538,442.889,367.353,340.704,324.332,381.824,351.983,434.943,406.949,
202,144648.763,148058.434,115461.452,67492.458,63292.677,50747.694,35253.690,34638.796,26579.898,26313.729,17733.908,16409.212,18172.546,9274.970,10889.489,8417.161,5920.370,8381.565,5499.500,5166.506,5585.179,4905.630,3509.803,3510.436,3788.214,3480.160,3781.813,2732.066,2559.106,3128.154,3195.776,2850.305,2463.824,3010.370,2064.417,2354.625,2625.228,2819.659,1973.320,1993.659,2237.710,1793.394,1740.877,2041.388,2145.618,1966.327,1607.658,2274.074,1818.698,1526.634,974.512,1524.081,1574.897,1363.383,1560.461,1233.552,1021.900,1197.775,1139.355,1251.703,1266.299,1034.169,945.712,1079.731,885.987,1167.658,784.849,810.494,937.148,1130.627,984.077,806.052,772.617,719.775,876.616,694.172,722.507,940.002,667.545,699.725,765.304,722.817,786.475,705.807,683.549,634.699,760.233,717.586,774.915,663.320,555.980,533.051,721.970,719.226,820.498,746.961,854.703,961.465,1112.546,1134.471,1152.872,1144.412,1288.204,1034.269,904.915,835.677,753.971,654.414,611.253,504.595,501.620,486.958,509.215,487.198,522.254,358.889,407.624,419.816,371.612,430.879,437.007,347.162,516.552,317.881,405.938,371.622,471.500,400.350,372.014,338.110,371.380,379.949,383.960,369.548,327.482,352.034,349.574,365.412,314.952,359.626,354.269,344.241,384.462,397.211,322.278,393.695,345.695,303.297,311.721,419.139,401.524,
204,170688.351,180720.007,156431.880,116572.907,77429.333,69474.754,43336.641,31129.110,32979.820,20372.943,21553.359,19106.137,15907.552,11352.947,9976.069,11618.116,7175.005,7091.027,5615.501,4423.595,5763.454,3487.221,4381.398,4148.644,3863.793,3178.204,2977.928,2955.500,2847.851,3113.306,2876.456,2417.488,2338.643,2286.708,2929.885,2589.531,1997.020,2749.103,2112.446,2063.177,2156.984,2005.788,1744.817,2037.252,1524.011,1812.404,1862.486,1753.514,1804.497,1569.964,1650.482,1244.384,1578.340,1192.087,1305.082,1512.158,1133.014,1464.849,1164.476,897.295,1186.075,956.380,1208.955,782.980,1068.592,952.308,1134.647,1013.895,1108.309,739.052,843.225,738.143,899.070,758.156,811.047,611.100,658.979,793.014,737.404,702.252,767.469,641.015,645.994,743.117,742.701,632.334,679.910,802.245,694.173,741.023,585.834,664.844,603.102,651.131,762.221,682.762,727.642,821.388,972.579,1026.106,1143.648,1084.423,1303.777,1195.273,1239.962,1216.408,965.970,905.431,855.392,682.611,552.868,529.817,462.538,526.703,424.982,452.076,450.240,450.869,497.576,391.830,462.196,401.557,459.317,345.678,369.111,352.731,321.260,384.693,427.834,434.367,366.450,387.610,401.274,277.896,263.226,294.134,348.663,356.324,331.974,350.043,333.190,327.874,361.804,337.506,315.118,408.922,377.414,379.864,364.142,404.655,338.212,
206,175808.206,210048.375,159348.363,160842.091,105819.117,78071.513,64176.272,42318.148,28436.644,22097.725,21103.502,15658.453,13386.057,13529.271,9126.931,10317.720,7227.516,5759.585,6296.930,5520.361,4360.035,4904.648,4522.146,4441.740,4258.460,3415.858,3377.231,2915.305,2941.215,2837.997,2228.189,2910.185,2376.572,2745.663,2156.902,2234.111,1814.005,2468.535,2284.342,2033.537,2252.097,2295.231,2054.179,1443.610,2075.888,1976.465,1713.762,1786.127,1655.775,1759.502,1595.936,1358.657,1279.951,1249.968,1324.584,1460.205,1382.732,1268.226,1154.793,1184.405,1095.074,1071.024,931.459,1136.297,1000.797,976.425,928.724,1022.972,857.198,814.004,816.417,783.445,859.043,810.725,847.671,714.056,671.736,725.188,808.023,704.705,761.085,610.665,549.771,696.449,722.181,685.537,682.392,653.484,626.254,583.832,673.012,806.385,658.966,736.351,767.465,790.528,830.434,706.685,785.766,824.090,871.588,946.858,1282.985,1227.682,1372.297,1250.847,1253.660,1223.928,1106.472,928.908,852.165,739.007,643.618,545.491,492.353,518.698,373.772,387.562,452.867,447.341,424.988,437.108,418.147,402.896,415.616,363.044,382.868,394.098,384.343,342.708,374.714,383.721,409.480,418.583,360.306,303.439,267.399,344.603,376.373,324.347,297.989,342.939,411.403,358.709,359.542,392.390,387.500,384.406,361.637,314.268,430.410,
208,177152.034,185383.306,195557.047,200893.506,167464.195,111477.085,82571.960,61183.868,40264.779,31640.542,19479.007,21799.156,15980.191,12625.111,11396.180,9998.478,8790.220,7602.537,5034.916,5095.948,3637.679,4993.944,4468.497,3037.423,4315.915,3095.194,2898.283,3514.330,2651.123,2701.140,2943.471,2822.709,3225.666,2543.917,2244.352,2820.379,2285.572,2385.871,1880.062,2075.960,2078.508,1883.089,1603.156,1444.953,1496.658,1840.426,1961.248,1880.064,1289.839,1630.298,1639.196,1534.007,1384.535,1612.741,1358.207,1443.134,1268.581,1355.472,1262.737,1211.640,1237.548,1163.471,1248.021,1257.107,1010.977,809.935,983.251,1012.257,872.796,1037.908,858.042,1008.316,582.788,825.204,725.745,867.052,705.573,811.878,779.062,830.755,628.439,800.099,641.132,640.572,696.360,718.552,612.892,653.735,649.694,570.331,746.523,795.108,902.056,872.494,803.060,747.294,722.840,579.318,685.525,592.273,579.530,780.487,948.542,1077.829,1378.369,1358.901,1505.130,1472.577,1520.459,1372.651,1173.440,992.232,827.885,669.092,676.401,484.353,369.171,448.990,448.390,426.933,458.079,430.304,388.781,392.802,381.798,344.780,370.890,377.247,351.934,447.252,356.890,305.882,364.595,367.087,362.066,317.973,347.593,389.742,350.656,369.451,351.536,311.417,352.749,381.579,332.884,413.509,389.750,425.480,389.815,389.921,375.017,
210,125005.273,170265.049,209886.475,222832.401,205814.259,193330.111,142951.817,96278.147,44862.137,30862.092,18803.055,16696.780,16729.429,11081.044,10152.518,8965.263,7904.689,6603.184,6601.541,5188.227,4223.383,5135.294,3811.357,3307.949,4066.627,3128.825,3487.441,2608.366,2336.558,3225.466,3036.243,2615.122,2973.914,3173.736,2594.030,2690.606,1991.380,2006.580,1859.078,1832.121,1809.430,1584.079,1652.975,1790.217,2181.673,1862.215,2266.831,1774.737,2037.115,1489.204,1473.430,1541.770,1769.633,1358.095,1383.016,1384.951,1285.875,1142.579,1264.275,1016.641,1310.230,1177.761,1030.370,1177.005,825.815,929.740,917.923,1002.363,927.293,971.887,846.023,829.086,977.949,854.315,811.072,854.674,780.362,750.485,615.787,660.136,745.890,856.759,704.201,645.208,645.575,710.299,669.513,695.196,654.828,653.907,623.839,610.572,782.495,761.486,697.207,845.327,808.846,775.797,776.569,604.483,620.582,828.360,676.220,789.061,1065.154,1191.196,1381.029,1503.494,1675.813,1725.072,1606.016,1572.431,1355.585,1126.581,928.137,831.976,604.814,577.610,490.003,496.019,399.369,460.934,377.418,367.200,399.037,375.891,395.590,419.546,430.213,436.806,380.765,306.861,329.406,410.539,340.991,362.663,312.001,337.524,324.900,342.456,322.988,379.899,453.705,375.214,376.908,345.418,340.518,352.323,378.496,372.043,416.947,
212,114390.638,137780.926,177631.815,221018.002,230513.319,256038.109,211245.754,166615.099,89212.096,53707.234,31392.376,21734.702,16980.256,10242.489,10160.749,9913.736,7689.870,6479.684,5977.318,5433.803,5460.621,4395.540,3990.094,3399.948,4116.476,3037.715,3397.559,3305.963,3306.712,3029.124,2619.570,2840.160,2552.466,2193.120,2899.853,2393.529,2207.120,2180.599,2119.173,2279.093,1928.043,1632.804,1567.219,1841.803,1935.794,1594.002,1629.240,1979.500,1686.225,1446.894,1585.538,1283.786,1467.447,1367.134,1348.573,1475.908,1366.437,1222.485,1066.498,1140.272,1225.141,1096.785,1234.889,1135.786,984.715,1132.799,1105.257,969.884,1105.287,1055.095,933.496,795.819,1019.826,786.759,733.686,778.986,754.237,884.941,621.361,752.846,837.897,780.386,804.847,705.946,629.499,642.232,724.302,687.411,604.730,654.707,732.444,616.421,741.245,693.998,735.731,638.568,835.905,837.527,749.922,826.714,721.731,781.365,651.252,843.092,846.392,847.726,1019.937,1326.268,1480.903,1722.805,1764.356,1882.527,1822.349,1725.676,1534.813,1374.418,1179.952,811.522,625.838,598.859,521.905,435.485,501.712,291.634,365.672,410.488,368.076,357.868,416.212,397.190,327.094,416.207,357.600,284.258,342.821,338.013,406.246,339.842,339.427,368.587,415.606,440.262,361.191,352.532,396.600,379.318,356.285,353.673,362.673,387.512,399.857,
214,104632.135,92600.914,133021.665,176733.996,236975.546,278492.590,303653.069,284724.955,174793.062,85956.132,46516.973,28002.756,18004.223,13149.664,8623.385,11367.865,7718.803,6393.020,6933.812,6184.302,4873.931,4075.595,4947.882,3916.476,3522.987,2940.105,3916.048,3043.090,3101.078,2200.458,2448.130,2763.694,2735.894,3049.901,3028.621,2354.700,1640.257,2051.728,2091.398,2356.684,1853.738,2073.069,2137.908,1982.099,2140.351,2013.481,1757.299,1865.986,1551.223,1620.660,1601.916,1171.150,1496.795,1314.719,1193.370,1396.626,1156.313,1470.785,1001.402,1145.049,966.298,979.391,1021.091,1033.481,1043.215,1081.588,1106.542,848.068,939.854,707.255,758.138,713.051,792.177,815.696,738.948,709.283,634.442,621.501,703.462,639.255,811.719,638.090,657.749,716.265,681.654,542.334,610.905,733.061,720.380,603.317,702.377,612.610,751.821,716.694,789.922,719.009,777.946,816.085,877.100,939.651,727.608,725.500,833.948,651.111,654.666,727.629,684.188,825.463,1087.175,1420.324,1606.041,1893.814,1994.423,2036.485,2027.473,1926.652,1792.054,1408.436,1102.613,960.330,651.336,559.973,487.230,435.170,378.112,424.383,413.113,413.918,412.149,378.298,395.741,409.414,369.752,380.050,319.216,319.760,329.218,326.126,363.064,390.351,319.700,365.608,395.076,338.244,374.735,351.905,319.564,362.335,387.806,369.083,380.611,
216,120624.568,95712.412,120385.575,126495.233,170545.649,252847.844,321922.795,342502.890,278803.791,149839.818,90104.523,44231.121,18165.137,15841.129,10311.153,8431.187,7416.744,6766.696,6456.074,5425.618,4563.571,4906.244,4218.614,3507.959,3195.488,3215.472,2691.006,2812.688,3343.161,2749.872,3179.136,3074.620,2976.691,2746.875,2684.658,2248.484,2222.516,2186.774,1679.470,1865.938,2306.093,2532.186,1407.282,1624.164,2017.869,1873.518,1370.564,1445.574,1900.008,1600.142,1779.005,1306.409,1135.103,1437.619,1301.817,1320.177,1397.668,1241.013,1308.615,1090.115,1059.922,1045.020,1005.316,1159.651,1172.468,774.987,1045.941,1032.394,945.613,911.785,859.093,731.819,695.208,687.778,685.012,723.562,647.112,712.806,727.590,752.442,699.921,778.236,722.971,740.263,684.418,730.740,693.114,719.049,807.971,693.140,788.303,602.815,667.913,770.725,729.786,648.022,768.961,770.997,769.288,841.166,898.863,727.916,794.582,753.921,714.625,650.629,527.225,530.835,751.050,897.145,1312.667,1418.443,1734.679,1998.689,2280.247,2309.863,2419.748,2147.888,1929.286,1480.429,1288.680,944.264,688.029,630.435,532.333,423.740,362.121,424.419,304.580,400.669,400.036,406.298,377.910,335.484,346.631,325.925,334.679,318.826,374.925,273.753,317.748,405.327,362.934,278.656,361.149,349.049,330.266,428.150,356.585,363.409,448.554,
