"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.19"
"[Data Information]"
"Data is:","Modified"
"Sample Name:","SampleName181"
"Sample ID:","SampleIDe181"
"Option:","Option181"
"Analyst:","dp"
"Date/Time:","06/24/2026 03:24:16 PM"
"Comments:","pp pellets sixtenth filtered microwave 5 minutes 6_24_26"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40246002360SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","200.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","2.0 nm"
"EM Wavelength Start:","200.0 nm"
"EM Wavelength End:","500.0 nm"
"Data Interval:","2.0 nm"
"Scan Speed:","6000 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"AutoFile_20260624_151340 - CorrectionData"
"EM Wavelength/EX Wavelength",200,202,204,206,208,210,212,214,216,218,220,222,224,226,228,230,232,234,236,238,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450,452,454,456,458,460,462,464,466,468,470,472,474,476,478,480,482,484,486,488,490,492,494,496,498,500,
200,118428.065,94076.141,50314.360,52518.473,40364.581,23993.817,27447.636,25749.756,23664.521,14711.384,18286.129,13113.944,10635.440,8033.807,6445.395,8428.524,6271.214,5251.997,3287.932,3421.810,3350.747,3875.482,2351.080,2695.894,2241.948,3305.349,2167.538,3576.496,1825.679,2324.639,1661.274,2364.292,1510.432,1506.931,2114.510,1753.008,1352.078,1635.336,1389.386,1903.316,1448.281,1322.926,1518.853,1193.210,1429.249,1154.218,1275.325,1342.689,1233.877,1380.699,1016.543,983.838,1147.899,1135.558,943.617,1048.887,929.392,914.273,1030.528,687.429,756.968,707.956,619.999,708.472,799.125,566.547,600.008,408.164,644.980,647.103,597.061,695.358,560.502,526.141,635.491,650.481,455.630,586.376,481.500,577.689,630.291,482.827,515.388,442.514,539.463,517.619,320.394,434.157,492.626,553.875,535.041,425.650,527.615,619.358,701.633,678.751,639.259,657.845,690.784,657.400,935.635,610.672,659.067,624.157,549.613,426.592,422.842,509.188,394.233,424.136,382.864,375.825,425.253,355.763,313.248,367.682,425.552,345.931,343.653,316.993,321.574,270.895,290.381,295.499,360.502,321.675,258.278,281.737,240.331,290.013,287.722,260.000,269.458,270.105,294.923,309.643,296.930,276.984,208.491,295.519,247.468,278.524,242.346,297.873,189.898,344.533,228.890,286.810,336.066,293.998,293.572,
202,124768.344,103580.629,85166.855,64454.410,43918.634,37680.136,24238.669,27090.350,21101.531,17466.553,13518.872,14145.001,8307.858,7944.964,7718.652,6848.597,4447.762,3676.402,4118.501,3628.273,3108.752,3413.637,3111.741,3157.540,2571.510,2880.856,2939.453,2608.715,2214.478,2110.352,2785.831,1903.640,1525.277,1886.188,1880.415,1301.044,1340.263,1196.435,1682.462,1695.729,1124.365,631.795,1186.225,1275.680,1285.236,1171.209,1608.622,909.976,1021.847,1151.680,949.303,1075.767,1160.815,1186.878,1086.228,959.741,1011.617,938.770,880.627,746.448,777.613,672.443,869.039,622.292,847.683,950.756,555.317,742.572,635.772,641.416,410.851,666.692,593.392,457.650,525.331,619.196,615.121,492.762,494.217,521.780,575.765,608.351,391.545,451.833,553.402,615.159,479.001,477.590,571.559,495.127,537.396,521.568,526.608,635.180,467.865,653.288,753.889,650.308,802.620,640.008,871.384,889.132,827.497,672.954,752.332,615.831,432.558,510.923,469.563,413.443,258.079,374.810,368.893,315.787,375.948,332.940,366.020,357.174,306.442,314.179,262.177,330.133,310.166,299.825,326.861,273.375,336.257,311.408,281.031,366.029,347.628,264.422,238.423,276.508,288.641,276.075,287.706,231.041,240.273,338.041,313.558,252.103,303.888,282.379,310.478,283.152,297.371,271.731,447.236,410.631,343.668,
204,135833.604,122223.468,96590.315,89198.620,72218.860,47315.760,30244.551,28254.054,24824.672,21209.515,15720.390,11492.491,9754.402,11256.986,8805.940,5841.270,3860.421,4445.480,4468.019,3349.172,3767.657,3892.467,3142.086,2480.779,2556.148,3376.462,1757.448,2707.333,2095.824,2400.031,1689.004,2168.319,1988.464,2093.553,1726.006,1602.212,1806.698,1621.655,1334.074,1476.688,1253.413,1009.857,1173.111,1397.557,1343.749,1080.539,1307.634,1009.416,1079.762,943.859,878.528,975.135,925.575,1034.298,885.510,965.250,960.298,1013.626,880.854,930.926,720.539,717.498,734.095,796.916,758.472,748.433,538.593,880.079,611.334,693.325,708.092,618.317,593.451,408.391,474.323,592.711,443.505,448.406,515.280,486.168,460.253,507.383,571.999,495.759,458.785,614.762,512.666,431.774,531.579,523.338,574.163,597.048,446.800,602.685,583.962,602.434,605.715,613.225,634.023,635.444,779.262,951.125,947.908,904.806,811.869,796.901,875.715,762.600,655.863,474.494,433.551,463.157,360.099,390.273,369.812,322.584,375.097,313.384,376.631,314.798,306.406,275.404,296.510,327.748,363.346,282.462,241.425,316.359,289.896,310.234,330.954,275.724,267.109,241.530,271.978,233.979,216.260,299.277,292.865,243.227,275.621,283.780,279.776,313.719,310.403,287.057,297.593,302.019,212.321,375.028,281.768,
206,123546.304,131033.603,134007.313,117024.249,75259.903,64004.025,46436.551,32468.486,19903.697,14739.405,15848.707,11930.075,13359.801,10438.138,8180.775,6627.957,4157.621,5413.388,5364.616,3107.978,4430.883,3926.960,3310.632,3198.721,2233.692,1590.034,2432.217,1632.964,1636.551,2208.116,2493.343,2195.094,1751.430,1591.027,2075.741,2059.992,1706.330,1863.014,1584.421,1327.474,1644.954,1296.844,1557.886,1205.862,633.189,1229.029,1310.583,1454.795,893.153,1332.527,1285.187,1098.086,868.894,998.368,757.593,1012.136,733.100,917.010,901.730,806.528,898.827,734.822,811.511,677.472,584.635,659.647,603.504,743.650,664.711,657.078,760.230,638.429,761.595,741.926,528.174,522.059,554.675,674.966,689.734,535.375,549.066,564.469,582.883,381.767,421.219,445.418,585.517,451.705,543.277,587.388,449.008,511.119,500.919,479.998,592.722,509.443,440.061,421.260,551.736,678.309,601.887,783.276,931.379,954.070,888.785,1005.915,1020.616,821.655,847.798,782.952,690.414,524.726,519.249,423.274,410.799,385.822,271.895,304.878,341.218,377.617,391.570,292.415,280.982,322.103,266.547,313.617,309.128,239.755,308.516,310.610,314.076,298.139,302.124,276.516,229.664,262.471,315.307,283.792,309.185,288.454,286.990,312.396,250.680,286.430,242.363,284.254,308.879,345.185,291.826,246.460,294.884,
208,106037.875,107920.376,132183.933,131014.993,124099.529,84895.575,63929.379,36909.892,24446.851,17173.072,11275.304,16584.507,11365.493,11657.625,7318.238,6820.880,5478.739,6409.967,4923.471,3557.591,3548.173,4380.723,2824.613,2598.433,2270.898,2131.212,1877.359,2834.116,1857.001,2426.746,1727.424,2170.523,1882.348,1900.176,2223.202,1910.107,1449.998,981.162,1645.771,1850.657,1591.851,1742.499,1626.017,1073.528,1303.488,1148.391,1213.645,1434.041,1437.482,1256.312,812.042,1098.736,1195.904,1111.635,756.838,768.167,814.251,673.500,906.286,680.430,872.951,603.581,778.149,562.684,660.434,774.277,657.568,568.405,574.726,639.994,610.639,505.506,499.538,784.830,637.623,623.432,677.024,425.860,581.110,679.605,572.530,650.253,515.372,433.370,398.681,604.680,444.932,519.562,488.177,463.140,419.222,560.518,433.122,642.508,593.048,444.558,508.992,581.999,488.249,638.581,622.437,616.635,813.197,802.132,922.028,899.249,1071.649,1184.930,1119.099,984.010,927.156,866.760,688.051,572.760,441.366,389.984,378.475,397.835,375.146,312.682,306.190,261.595,227.922,251.239,291.125,355.924,349.975,284.370,245.631,278.421,269.214,305.660,220.008,274.528,199.021,298.614,281.279,299.479,330.497,317.589,376.331,231.859,305.069,261.211,314.338,283.880,252.325,357.609,312.923,264.829,271.551,
210,99497.508,104445.893,112668.503,148163.666,133222.810,117127.188,86833.547,49097.389,38403.657,19573.946,17315.255,16628.208,11249.560,5263.057,7128.980,6792.474,5243.725,5965.543,3498.209,4276.518,2757.984,2610.275,2779.476,3414.181,2071.348,3136.758,2545.988,2771.436,1577.279,1987.826,2252.406,2231.983,1692.118,2457.446,1895.209,1453.416,1353.135,1361.312,1514.455,1999.942,1468.629,1486.028,1301.880,1170.427,1324.979,1103.889,1279.396,1041.592,1268.994,1117.094,850.840,1020.043,988.540,1187.898,1028.291,1080.304,620.308,894.779,977.175,695.367,911.919,864.627,787.044,890.348,668.429,682.322,589.237,577.804,711.557,675.678,623.869,796.710,575.856,640.425,448.850,594.902,535.455,594.337,503.528,519.957,601.503,575.261,432.418,390.155,442.747,495.473,439.345,519.677,496.380,552.464,547.352,461.424,514.748,710.033,619.492,670.705,563.127,574.392,640.910,505.845,572.537,419.367,611.314,706.683,756.269,925.386,1027.448,1101.142,1182.782,1253.772,1271.422,1192.147,1043.617,779.453,836.001,549.457,487.644,423.802,371.688,371.710,335.266,288.853,278.816,310.655,289.261,288.103,356.715,213.141,304.353,221.824,312.099,241.552,265.063,257.056,283.671,278.709,223.619,290.576,278.969,269.970,318.858,284.936,274.920,268.989,334.164,241.688,246.329,274.826,332.542,271.260,286.066,
212,77327.415,113482.132,108660.870,137325.178,165285.435,155382.058,124505.537,82550.160,60111.468,39920.291,18662.222,12304.904,11378.607,9206.174,4706.110,6167.260,5059.126,4162.509,3676.767,3704.173,3142.533,2520.133,2537.158,3667.522,2951.235,1766.297,2993.927,2587.314,1498.685,2328.592,2289.995,1619.641,2054.694,2029.322,1864.599,1671.749,1992.710,1523.466,1529.582,1636.494,1183.127,1446.459,1560.273,1431.068,1139.420,1510.432,1173.643,894.507,1379.846,1053.505,887.480,1120.582,1099.510,1157.080,1041.488,878.770,1058.060,1035.856,982.018,837.370,892.160,854.813,689.193,742.230,722.653,895.394,730.821,729.597,593.487,629.670,658.078,686.720,678.581,587.980,446.530,655.768,526.848,464.193,476.175,410.499,606.196,605.744,547.792,508.707,586.686,441.603,437.751,568.699,519.280,507.348,607.049,496.408,611.152,667.542,577.378,660.886,535.210,782.958,705.256,628.019,643.536,490.824,480.665,660.539,573.575,682.871,866.105,937.033,1094.138,1207.641,1280.240,1325.906,1317.627,1191.580,1150.486,995.259,794.845,533.299,462.827,391.493,315.756,336.298,376.847,233.525,431.408,361.704,308.291,363.229,349.965,351.861,374.993,247.771,266.923,211.399,295.441,245.544,316.118,240.007,252.354,250.805,257.121,296.834,337.269,251.407,341.368,305.542,290.159,264.987,317.888,296.873,254.601,
214,104069.859,108730.557,92148.277,108480.459,132742.590,159247.197,155630.261,128452.514,92014.645,70074.460,38412.828,15722.619,12846.568,7736.430,8858.932,7346.881,4283.729,5227.792,4957.427,4336.791,3669.826,3295.770,2912.374,2773.636,2609.249,2811.414,2177.177,2499.220,2285.419,1747.536,1992.664,2232.011,2137.185,2313.559,1513.884,1120.734,2077.398,2036.844,1652.808,1290.924,1454.541,1342.201,1497.696,1288.531,813.311,1419.523,874.408,1274.954,986.280,1141.898,1194.865,1162.203,930.763,754.729,1161.088,795.567,976.295,871.904,932.165,1022.136,1054.510,850.566,698.601,793.642,579.510,800.475,690.772,694.710,618.812,689.180,621.022,618.425,567.047,586.617,615.470,565.199,568.850,517.309,512.847,439.628,538.611,437.844,597.062,500.819,546.754,608.589,487.026,437.082,449.226,444.160,533.241,521.732,499.023,549.041,494.287,560.983,636.709,660.015,733.340,651.669,636.596,584.100,524.800,522.794,557.406,510.258,490.670,655.877,834.301,898.434,1121.909,1307.786,1324.307,1543.985,1456.163,1444.865,1211.599,1044.877,793.771,688.684,565.133,463.195,333.851,381.871,220.399,287.176,253.212,317.438,347.028,293.824,295.071,300.876,269.518,281.771,266.334,257.924,211.935,238.839,291.300,181.650,250.045,248.421,250.058,308.540,321.276,247.026,280.543,298.434,349.878,281.768,278.684,
216,91120.743,96625.841,103662.536,88606.400,105934.766,127047.591,170597.184,168780.512,148179.954,109236.583,69499.484,28492.724,18904.053,10438.138,6598.494,5925.544,5773.991,5292.989,4134.959,4013.264,4278.117,4393.225,3053.017,2293.075,2697.829,2841.697,2011.372,2345.433,2224.136,1994.790,2031.427,2454.127,2134.819,1988.992,1642.962,2022.737,1843.625,1410.972,2071.345,1081.191,1150.370,1659.701,1638.653,1408.059,1253.743,1426.616,1097.925,1265.102,1191.574,1334.143,1242.623,1216.499,962.891,1087.815,1095.738,870.808,1075.831,912.599,614.550,699.296,901.252,552.302,634.215,547.845,898.036,508.740,549.306,542.273,595.625,470.231,591.352,546.353,571.160,672.245,537.019,526.865,625.992,545.766,598.261,629.005,610.974,573.027,495.663,605.395,456.055,515.305,414.787,525.038,564.187,621.631,488.584,604.349,407.519,375.436,440.843,569.829,430.974,591.605,613.899,634.984,806.129,767.505,706.814,455.370,529.654,526.149,370.438,499.363,574.997,750.858,900.156,883.667,1318.645,1442.438,1489.977,1657.087,1802.168,1454.898,1381.113,1190.547,966.337,677.742,566.410,427.747,300.405,361.599,337.106,281.660,316.173,289.965,332.613,293.413,277.554,265.919,255.771,235.191,293.595,291.628,241.199,285.578,214.423,307.840,299.994,298.546,306.769,242.433,249.025,317.059,311.473,288.911,410.986,
