"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.19"
"[Data Information]"
"Data is:","Modified"
"Sample Name:","SampleName182"
"Sample ID:","SampleIDe182"
"Option:","Option182"
"Analyst:","dp"
"Date/Time:","06/24/2026 03:37:14 PM"
"Comments:","pp pellets filtered thirty second dilution 6_24_26"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40246002360SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","200.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","2.0 nm"
"EM Wavelength Start:","200.0 nm"
"EM Wavelength End:","500.0 nm"
"Data Interval:","2.0 nm"
"Scan Speed:","6000 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"AutoFile_20260624_152652 - CorrectionData"
"EM Wavelength/EX Wavelength",200,202,204,206,208,210,212,214,216,218,220,222,224,226,228,230,232,234,236,238,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450,452,454,456,458,460,462,464,466,468,470,472,474,476,478,480,482,484,486,488,490,492,494,496,498,500,
200,108872.651,92279.665,65960.254,53697.072,30976.864,35178.095,34316.148,21394.377,22865.632,12673.662,13810.771,11927.747,10746.878,11109.354,8227.818,5856.484,4421.722,3907.026,3040.551,3389.484,1810.872,3131.004,2912.671,3076.287,3132.809,2640.667,2066.260,1725.045,1868.784,2090.579,1490.063,1879.952,1742.637,1903.895,1008.871,1593.897,1360.571,1502.468,1299.365,1783.469,1234.242,1284.260,1610.533,1257.666,1347.636,1293.418,1415.582,1384.566,1306.131,1292.897,1025.257,1120.634,965.612,983.296,1045.937,919.112,929.270,980.050,800.559,684.491,701.857,872.791,650.528,637.067,750.887,664.112,835.265,732.236,570.659,611.600,726.770,468.465,464.271,439.803,460.586,379.186,523.481,680.025,540.726,471.273,542.877,440.375,526.205,460.195,468.845,508.996,428.125,470.439,476.242,555.152,460.251,440.974,455.995,394.655,641.104,596.728,522.675,754.789,737.634,725.239,660.432,749.522,685.565,443.281,514.069,417.570,531.449,338.861,388.792,361.701,383.508,354.935,319.496,308.725,363.550,320.020,270.122,318.637,292.916,326.527,298.569,449.287,306.220,289.800,328.826,325.031,294.350,344.890,249.857,275.938,290.920,271.176,275.893,327.723,201.756,225.931,242.953,289.628,199.151,233.698,230.976,297.268,233.713,277.084,289.540,259.274,240.040,356.279,263.782,300.704,300.552,
202,124802.394,98258.653,107133.301,77709.335,34468.614,47685.254,30258.551,25658.895,15538.228,16299.632,15971.935,7039.867,9343.247,6337.258,5245.217,5980.039,4610.442,6031.105,3741.238,3822.721,3655.732,3554.991,3273.774,3085.422,1824.051,1779.748,1635.058,2121.376,2812.613,1730.965,1984.812,1237.739,1476.954,2089.483,1692.166,1931.699,1691.010,1339.554,1590.423,1501.530,1733.499,1454.323,1538.394,1356.296,1056.789,1261.184,906.109,1161.774,1303.248,1171.143,835.187,971.006,1312.997,1114.932,1340.732,699.191,1011.016,990.251,922.509,757.835,760.581,720.077,787.546,813.120,656.342,753.303,741.209,760.104,781.571,585.072,571.213,709.431,519.751,649.212,570.706,552.962,496.166,542.020,464.260,675.191,546.136,372.742,637.557,475.061,343.362,465.865,473.725,567.908,574.762,442.152,495.993,573.545,543.156,557.435,443.353,551.085,683.961,714.506,581.374,815.122,772.699,804.988,800.202,755.624,643.322,688.474,563.194,407.736,366.951,334.844,327.820,330.970,397.639,411.984,294.682,354.563,281.936,254.536,350.416,339.190,277.682,306.851,255.150,289.941,352.146,254.069,309.042,307.344,274.521,306.416,327.951,252.878,304.156,227.919,267.788,297.416,253.529,344.335,202.990,218.033,281.530,192.765,250.843,274.368,336.005,258.171,280.152,307.427,234.374,297.078,294.164,
204,122926.184,100776.435,113737.762,83720.485,73996.995,49218.256,30860.612,23541.992,32209.983,16167.944,13386.715,10249.555,10748.206,9074.856,8199.757,5452.614,4153.799,4765.835,3619.460,3726.471,4003.224,3553.670,3775.216,2030.517,2459.283,2417.523,1932.486,2104.968,2345.537,2179.081,1740.271,2181.972,1909.036,1819.846,1963.326,1759.113,1652.213,1762.284,1128.144,1389.505,1780.208,1177.098,1209.725,1441.622,1242.148,1400.915,1420.901,1040.232,1193.169,990.577,1053.580,1152.851,709.588,1111.706,861.439,618.820,632.801,1099.547,821.775,815.585,543.639,672.470,970.974,775.485,625.733,635.547,544.109,731.539,715.985,411.621,632.084,675.371,689.254,798.015,613.927,709.664,560.877,515.676,530.938,550.176,429.475,421.077,533.179,505.709,352.738,630.256,480.420,549.260,422.202,483.335,504.649,580.591,421.139,577.166,550.881,622.051,560.269,530.678,593.396,698.808,707.236,879.106,926.368,1024.422,1010.133,924.100,794.857,824.099,602.483,573.147,348.465,445.191,406.139,403.872,380.898,315.637,277.689,330.872,372.630,352.071,254.906,318.597,337.742,321.606,288.560,283.808,239.449,213.771,314.880,344.228,306.421,338.192,242.443,283.279,228.752,214.148,230.152,310.976,313.147,378.131,255.476,250.716,281.241,324.065,334.463,256.200,207.906,261.526,354.208,281.207,303.803,
206,137623.810,142210.914,112243.197,110247.540,86746.118,63902.825,44127.035,29761.072,27479.527,17469.024,19495.323,10999.327,11939.941,11589.423,7935.807,6297.308,3862.357,5320.781,4550.383,3823.057,4766.930,4293.858,3042.506,2684.693,2998.249,1581.593,2908.609,2530.916,2497.083,2485.504,1634.923,2523.532,1901.942,2019.703,1660.158,1626.623,1369.343,1325.467,1251.298,1654.467,1404.196,1342.321,1530.632,1368.793,1674.213,1603.165,1343.555,1110.327,1327.543,1160.951,1091.372,1066.795,859.766,934.939,966.506,811.575,825.743,856.101,610.527,705.861,705.881,963.782,813.774,862.891,778.704,556.773,682.726,557.784,615.453,599.043,766.510,646.143,568.996,584.796,507.319,498.655,514.448,491.538,452.554,445.837,559.219,514.477,490.031,426.269,465.379,540.749,516.590,515.942,516.892,484.346,669.522,492.439,471.924,452.536,576.339,474.145,533.033,450.638,527.180,611.059,700.485,707.849,813.748,1027.984,1067.203,1065.269,1011.826,1042.540,877.311,668.068,684.792,524.667,415.126,446.877,354.453,379.628,298.993,339.028,347.001,319.947,379.123,289.481,248.017,330.454,311.498,318.699,342.203,250.712,344.291,267.257,310.498,257.240,235.545,293.131,280.223,233.276,253.762,252.462,324.689,303.380,282.589,269.364,335.152,313.305,315.132,300.126,316.041,215.144,317.139,189.295,225.602,
208,99197.930,116581.150,123265.037,117871.141,111743.959,82950.600,70797.933,39571.854,22556.234,18420.175,15392.496,15944.681,11065.179,9510.734,6700.653,7396.948,4530.207,5489.862,5598.601,3637.258,3217.735,3082.355,2902.699,3246.687,2311.164,2485.560,2042.817,1527.317,1846.500,2086.064,2161.391,1378.212,1868.885,1803.655,1374.913,1649.232,1477.261,1634.533,1300.435,1589.054,1273.915,1667.191,1673.051,1447.913,1515.297,1226.519,1448.917,1150.998,876.805,901.330,947.685,1056.133,936.487,1020.848,844.588,819.594,660.546,789.049,893.204,910.539,915.919,906.304,696.897,837.003,773.662,586.279,780.621,729.114,547.972,724.218,563.191,427.881,625.979,619.981,684.839,542.287,593.415,504.396,474.052,590.223,521.916,541.635,527.799,534.396,459.688,399.283,414.771,419.173,478.578,479.506,593.901,435.675,516.139,593.676,565.406,554.572,613.808,650.517,547.955,528.216,490.157,500.874,755.336,917.895,925.252,1180.833,1256.967,1260.772,1003.671,1031.503,1000.037,729.014,676.915,520.364,465.372,452.144,375.445,346.661,284.694,305.633,327.746,287.706,282.573,309.333,288.924,305.929,281.263,322.253,318.191,292.088,278.725,292.773,259.961,259.788,204.292,288.062,266.129,252.420,328.958,245.767,285.912,268.098,263.820,306.113,241.669,283.593,341.767,299.719,260.474,302.883,327.380,
210,94313.171,97550.206,123338.640,128271.913,159734.245,124415.825,93351.257,60376.264,35329.216,25350.716,16696.357,12259.775,9387.370,10246.800,7096.004,6844.096,6084.070,4696.284,2521.629,3057.512,2623.070,3024.280,3385.767,2112.015,1973.378,2532.218,2188.817,1872.582,2308.150,1949.115,1692.528,1904.943,1780.000,2164.919,1180.966,1943.963,1712.565,1217.353,1194.728,1349.535,1822.433,1565.996,1494.560,1323.051,1237.386,1298.316,1165.499,961.904,1035.060,1699.291,1086.876,1238.476,984.555,1166.538,1099.002,1092.074,844.736,770.389,999.130,767.883,988.194,603.858,707.745,532.836,724.590,657.846,392.008,671.423,663.087,522.644,449.416,501.911,541.527,536.900,665.037,551.977,517.033,571.418,622.361,572.183,582.134,456.840,560.136,562.410,535.950,487.880,426.535,474.261,370.097,451.343,522.772,614.041,592.453,605.312,558.894,602.308,670.432,556.568,619.795,509.212,473.782,583.262,676.410,543.848,809.147,875.392,1003.879,962.192,1139.175,1152.217,1298.753,1169.699,1026.178,898.835,663.969,598.144,470.562,513.881,327.617,373.514,343.570,345.133,307.269,263.334,266.737,288.348,273.549,269.275,261.673,290.537,281.505,264.422,301.184,285.060,225.515,248.515,224.632,302.897,276.274,242.219,318.134,273.015,313.702,203.668,192.018,234.759,349.091,322.872,261.579,336.914,288.049,
212,85642.798,86540.328,85580.308,136874.245,149793.108,150635.685,133212.802,93059.922,64936.762,32889.543,15288.024,12500.336,9812.677,7813.521,7270.538,6545.594,6355.303,4921.448,5026.818,3429.021,3620.500,3301.645,2756.333,2469.334,3265.422,2693.348,1835.893,2039.320,2665.022,2344.247,2334.110,1940.408,1754.256,2104.341,1676.046,1782.862,1412.530,1849.546,1078.335,1546.802,1136.902,2064.094,1191.868,1118.454,1137.926,1480.306,933.972,1283.839,1169.963,1185.839,844.275,859.924,1292.662,942.582,1093.808,877.097,868.670,1030.445,764.688,893.458,685.656,646.188,801.243,711.772,662.909,692.806,647.949,721.188,626.413,688.274,526.100,675.710,704.816,680.707,521.000,654.997,559.924,561.494,691.607,718.115,658.801,536.134,459.442,450.059,475.222,489.916,568.385,578.388,415.849,482.532,395.718,541.175,489.719,546.291,624.476,633.598,585.147,582.608,616.595,652.241,694.684,563.860,529.105,484.061,637.234,706.916,868.043,935.657,1120.085,1120.119,1423.711,1305.956,1538.878,1315.378,1120.168,947.581,700.412,643.579,519.907,392.595,375.717,338.909,251.848,246.041,286.942,254.752,340.990,295.514,329.757,302.601,307.310,265.604,263.979,203.820,253.597,231.553,333.600,318.348,248.939,287.966,236.285,314.857,230.524,241.805,258.579,301.527,287.983,316.111,324.700,243.089,238.646,
214,78457.350,85571.008,89563.669,110947.753,121839.640,166781.476,170483.070,138061.626,97056.520,68644.044,36523.833,21577.995,11228.834,10092.714,8617.219,5116.522,7015.019,4866.456,5630.753,4989.454,3013.916,3427.653,2626.980,1925.275,2085.522,2462.791,2705.414,3142.962,1739.721,1413.289,2420.668,1718.059,2620.925,2365.357,2110.580,1420.248,1829.282,1345.416,1604.441,1522.656,1182.950,1195.258,959.842,1513.954,1020.905,1237.737,1131.271,1415.420,1333.248,1315.673,1019.364,1133.252,936.622,617.506,965.913,896.315,860.884,901.186,822.209,991.724,847.418,878.108,647.897,676.520,677.300,595.650,662.324,688.137,595.192,712.163,724.839,533.532,415.051,574.561,539.859,556.643,548.385,642.382,561.967,576.786,514.232,495.278,418.864,471.265,410.776,560.267,505.657,501.691,366.395,511.123,432.840,530.801,414.287,542.414,436.798,581.198,584.179,621.021,524.646,525.105,590.358,674.215,589.954,534.576,532.363,574.083,674.273,627.676,849.312,860.657,1393.632,1320.297,1753.121,1632.962,1529.826,1346.304,1414.799,1086.403,1005.260,644.212,561.748,401.865,339.851,366.172,362.106,284.567,339.129,255.476,357.600,374.058,315.257,221.340,257.567,218.086,283.340,244.658,250.872,282.431,268.928,349.741,282.909,271.733,355.466,252.328,296.249,263.676,195.895,259.492,303.779,289.126,289.397,
216,88517.455,106153.654,86732.581,81192.625,97987.064,142480.519,176363.564,167609.788,154429.155,114514.261,69215.062,36528.493,19166.825,9942.299,9701.463,6418.233,6081.149,5272.840,4040.728,3819.084,3332.072,2225.622,2699.101,2898.069,3015.295,2810.412,2199.600,1639.975,1671.812,2215.585,1874.578,1711.481,1918.367,2011.119,1953.425,1682.463,1781.427,1273.314,1499.631,1915.437,1189.648,1278.133,1068.832,1452.462,1284.983,1468.507,1047.152,1179.628,1199.997,1087.017,901.856,960.884,1019.519,1070.855,645.514,912.467,814.110,881.563,448.926,767.415,529.460,899.584,733.113,615.820,629.617,603.250,625.629,489.992,581.010,890.897,696.732,725.407,691.734,457.684,633.228,665.477,502.440,494.992,521.288,492.205,540.251,486.085,537.316,535.361,475.807,423.806,507.069,475.261,488.872,590.462,460.333,324.844,541.683,497.171,651.679,582.969,577.068,577.524,700.617,706.779,709.239,628.203,648.256,667.879,512.920,507.927,519.690,500.139,577.143,727.556,1045.638,1105.804,1386.051,1523.513,1624.207,1782.972,1572.635,1535.181,1349.882,1297.203,874.044,703.693,590.047,460.504,331.292,314.674,328.392,297.474,317.806,357.121,250.372,280.502,260.517,292.260,305.659,177.647,285.178,253.295,291.721,346.596,293.832,232.084,314.989,277.875,315.286,293.094,330.510,233.623,305.586,293.739,296.729,
